,source
COMMISSION Member trader,1
1935 Stary He,1
1953  Adolf,1
48  chairman,1
1982  They,1
1987 Printing Printer he,1
1988 National He,1
1985);posthumously Spirit Scriptures,1
Andrzej Szkłak,1
Strzelin.1980 1993 Academic Pastoral he,1
1981 Stanisław Orzechowski,1
2007  Pastor,1
there Piusa he,1
then Piotrków W,1
Fifty Wielkopolska That,1
underground Political he,1
2002 Polish Institute,1
Where  he,1
Tadeusz Duszyński,1
2014 on29 III He,1
2007 zm.8 He,1
1975 Poultry farm culture,1
2002 Wiesław Stanisław He,1
then Jarosław Secretary,1
Grażyna Gęsicka,1
Krakow.1982 Polish he,1
Stanisław Fudakowski,1
laborious psychology studio,1
1982  Kurkowa,1
1989 Sejm Secretary,1
1980 Departure Commission,1
repeatedly  stopped,1
16  V,1
Polish he,1
Polish Republic,1
1950 born30 He,1
shipyardKomuny machine he,1
1989 Agricultural School He,1
Parliamentary Club Gdynia SA i,1
1949 Tomaszów He,1
1988  1984–1988,1
4th High it,1
Regional Audit Committee.1990,1
1981  Coordinator,1
grade Factory Committee,1
Bulletin,1
70./80.Employed spark publishing printer,1
1986 printing 1988,1
other novel that,1
1959,1
IX 1981 Apostolic delegation,1
Paweł Głuch,1
d.13 III TAM.He,1
1959  Employee,1
free taxi 1981/1982,1
PGM Żoliborz employee,1
1982 III Co,1
III Radio he,1
1947 born6 He,1
Vice Provincial Board,1
Independent Opolskie 1982–1989,1
day years he,1
Radio recording she,1
Józef Godlewski,1
Zbigniew Gach,1
1932 born.29 He,1
1950  Górnik,1
Indywidnal trade who,1
1987 co -creator,1
Popiel . initiator,1
1981 teaching chairwoman,1
DecoratedMedal,1
1955  1957,1
again IX XII,1
1990 Co -,1
commercial Literary Culture companies,1
2006 Wielkopolska region,1
5 Solidarity VII,1
trips.1982 1983 Polish functions,1
maritime  Decision,1
7 Gdynia Subtitle,1
teacher,1
23 VII 1982;She,1
governing trade union PNTio,1
1981  I,1
free CDN ADX,1
long  we,1
1952 Seweryn Sterlinga,1
agricultural Polish he,1
Stanisław Fryc,1
I II,1
2 years he,1
Pomerania Provincial Electoral member,1
1982 books participant,1
Bolesław Fleżę,1
"1980 S"";Member Commission member",1
episcopal Przemyści member,1
provincial United States he,1
1981 Individual he,1
2004 Polish Chairman,1
Jakub Forystek,1
trade union Signatory,1
printing house,1
1987 Kraków Ruling,1
Delegate Lower Delegate,1
2010  he,1
1982 scout he,1
2005 Pedagogy Polska organizer,1
1955 Nowy He,1
S FSM .,1
Gold Medal J. Kiliński,1
1981  detained,1
6 movement Imprisonment,1
communist Forest District he,1
co  author,1
Antoni Józef He,1
1948 Bielsko He,1
3 Provincial he,1
1977  December,1
1 Vocational Kolporter,1
activist Kluczbork member,1
Zbigniew Gluza,1
Stanisław Tomasz Głażewski,1
1978 Soil participant,1
1985  I,1
1948 born29 He,1
Karol Głogowski,1
1975 industry participant,1
1981  defender,1
1962  1990,1
editorial Polish Radio manager,1
1980  Author,1
early  member,1
2005  He,1
2007 born5 He,1
stranded Trade participant,1
V SOR WOG,1
1981 retires.12 XI,1
members,1
WatchV SB KW WiSW,1
2018 zm.7 He,1
1952 born11 He,1
V 1982–30,1
1980 Job judgment,1
1988 A. she,1
"2007 Citizen"";In husband",1
organizer Steel structures,1
1984 amnesty wife,1
15  1979,1
27  XII,1
youngest Tadeusz Duffeka,1
1989  He,1
independent Gdańsk Lenin,1
30  XII,1
1945 K. He,1
1970 occupation 22,1
1980 Registered IV,1
1960 Konrad Krzysztof He,1
Senior Poviat XII,1
1965 Jacek He,1
Jan Głowiński,1
district office,1
"1980 S"".1980 participant",1
New He,1
1966 born24 He,1
worker co S,1
Netherlands Kurier President,1
2014 zm.20 He,1
technical  Mechanic,1
1987 Polish KPN,1
1924 Zygmunt He,1
1982 Zygmunt ALL,1
4 volume monograph,1
partisan  Order,1
Solidarity Maritime President,1
1940 born29 He,1
24 taxi IX,1
1996 Marian He,1
6 death II,1
currently k. Nowy student,1
song Poetic walls,1
1980 Workstree President,1
1951 Stargard He,1
where Solidarity resistance he,1
then Polish Stage he,1
Gazeta Gazeta Chełm Lublin Tomaszów,1
1979 press I,1
Adam Giera,1
1975 Górniczo Hutniczy he,1
second Dąbrowa participant,1
1 person participant,1
20  IX,1
1945 Wilków K He,1
informal  meetings,1
plenipotentiary,1
1981 housing candidate,1
professional Stanisław Dobrzyński,1
1944 Gacach He,1
Committee  i,1
2002 AWS Advisor,1
1988 Sor ThroughoutV,1
1981 Social chairman,1
4  VI,1
1984 voivodship procedure,1
80 Ps . He,1
17 air XI,1
1951  d.11.IX.2020.He,1
other Honorary Consul,1
young Warsaw participant,1
Physisja Zakładowa Organizer Training printers.29,1
Jacek Country,1
1982 Mass participant,1
1984 St. Stanisława IV,1
political radio installation,1
1986 Południe District case,1
2013 Arboretum publisher,1
Kazimierz Grajcarek,1
Expert Foreign organizer,1
where Libella publishing books,1
1955 Ostrów He,1
1980 Mera he,1
2002 Member COMMISSION Councilor,1
1954 Starogard He,1
1962 Jan He,1
Self Trade Union,1
domestic Deputy Director,1
Local  union,1
17  IX,1
IX 1982 Free Radio Europe,1
13 III 1983,1
15  IV,1
several Radio Independent times,1
1967  editor,1
same Z he,1
1989 Lech 1991,1
AZS,1
Senior train traffic Organizer,1
2012 d.19 He,1
1984–2012,1
scientific TZR member,1
1992 Stalowa She,1
S HSW who,1
9 months VI,1
1935 born14 he,1
Solidarity trade they,1
1981 L. he,1
where Great they,1
1984  7,1
1976  Internship,1
ZPD Leaflets,1
1950 born22 He,1
1981  Chairman,1
31 Roarmia National he,1
1983 Catholic Intelligence stopped;1983,1
1981 strike author,1
1990 Andrzej Solidarity,1
patriotic Zbigniew project,1
underground Supplies.1983 1986,1
1972 WSK we,1
1981 Employee participant,1
1983 Warsaw Military he,1
1969 Administrative worker,1
2007 d.23 She,1
fragile XII 1984 II,1
1991 Tygodnik 1995,1
1980 PZOZ who,1
other  He,1
underground co -organizer,1
1982 zm.18 He,1
1  we,1
1998 Judas Church,1
2002 COMMISSION COMMISSION,1
1981 IX X Map;He,1
2007 zm7 He,1
1 Jerzy xii,1
independent student Founder,1
Krzysztof Gołgowski,1
1981 II -,1
1981  Autumn,1
Awarded Ecclesia ET Pontifice,1
2008 zm.15 He,1
1943  Germans,1
few Workers i,1
3 AŚ Warszawa V,1
IX 1968 IX She,1
WIP organizer,1
1990 Szczecin Organizer,1
2000 Lech Member,1
1984  co,1
1987  December,1
1991 zm.20 He,1
constant Vice - President,1
"1982 day"").17 Isolation",1
illegal Youth he,1
"underground  time"";Participant",1
7 Dycharotewo K. VII,1
when  we,1
album Isolation,1
1953 born24 He,1
2013 Ursus Sports Club,1
20  XII,1
15  III,1
Solidarity trade chairman,1
1976  Participant,1
Maria Grzymisławska,1
underground Julian Zydorka,1
Maciej Grzywaczski,1
packaging strike board,1
documentary TV one,1
III 13 III December,1
1985 Warsaw Vegetable,1
Together Branch Association he,1
1980).3 Dolnośląskie XII,1
pastoral  officers,1
European Young Congress,1
several Marek participant,1
White Cross,1
trade unions trade L.,1
15 Kielce XII,1
Committee ZPJ he,1
2000 Polish State 2008They,1
Second Elder,1
1982 Warsaw disciplinary,1
quarterly mid participant,1
16  VIII,1
similar Sejm Poland Republic.31,1
2006 Catholic Intelligence Delegate,1
Solidarity Mieczysław Delegate,1
Wiesław Bieliński,1
Unions Nszowiek colleagues,1
1989 zm.21 He,1
1951  Workman,1
again beginning.1982 organizer,1
1958 born14 He,1
26 IX 1988,1
"Milicz,1963 1989 National member",1
leaflets;Kolporter PKS driver,1
there  1954).She,1
Cor COMMITTEE COMMITTEE COMMITTEE,1
23 Warsaw XII,1
1982 Scientific Worker,1
1953 on28 graduate,1
1956 bornborn.23 He,1
1999 Anna he,1
first Lech That,1
there d.28 graduate,1
Trwamamy Information XII,1
1986 atomic power he,1
8th Ustrzycki Rzeszów member,1
29  VII,1
"professional trade S"";1990",1
11th trade participant,1
Independent Vir,1
half  time,1
Ireneusz Jerzy Haczewski,1
medium -wing radio he,1
National Radio Free Daily,1
Marian Hady,1
Sławomir Paweł He,1
Sucha he,1
1 Centrum ship technology,1
1989  2002,1
Zakładowa Tygodnik Mazowsze,1
Adam Wielkie k. He,1
IIIA,1
"independent Workman"".1980 he",1
hardware LGO Logistics bases,1
inspector,1
underground family 1983,1
2002 Senior Visitor,1
1983 Social Initiatives he,1
1994  Employee,1
KOR trade unions,1
2006 Corporate Card Foundation,1
Rafał Grupiński,1
Solidarity publishing teacher,1
underground Jerzy he,1
1990  Editor,1
martial SW courtyard,1
14 ZPS XII,1
26  He,1
then F. case,1
Solidarity Peripheral Election member,1
Danuta Grzelak,1
Janusz Łukasz Grzelak,1
1958  1959,1
independent Committee Civic Committee,1
1979 locksmith mechanic,1
letter Kępińska Rapiora,1
then subchorden school course,1
Chief Commander,1
1952 Siemianowice He,1
1981 Committee Civic Committee,1
1981  stopped,1
independent IX he,1
sworn Lucyna he,1
12  V,1
1981 Functional Analysis member,1
6 released.1982 1989,1
then  he,1
then  Rakowiecka,1
Repeatedly rights revisions,1
there Lektor DYR,1
Barbara Hejcz,1
R Free includingShe,1
1957 Stock Repair one,1
1 Order VII,1
patriotic Holy He,1
Stanisław Helski,1
Wrocław Fabryczna Wrocław farmer,1
1988  2000,1
Employee Filia Pleszewokka,1
K. Ostrów He,1
1980 Szczecin Adolf,1
9  he,1
1982 Solidarity resistance responsible,1
small k. He,1
1998 WEOG WEED,1
1932 born11 He,1
1976  participant,1
1993 Mercedes plant he,1
1949 Jacek He,1
"independent trade Placówka"");A",1
1988 Szczecin which,1
1984 Independence Organization English,1
office  he,1
1937 Marian Eugeniusz He,1
Martal State member,1
1959 Lubiąż k. He,1
1983 Municipal Economy 1987,1
choice,1
V 12 VI,1
1979 Young participant,1
1982 Kielce 1983,1
Marek Harasiuk,1
political Food Collection he,1
Józef Zbigniew Harasim,1
1986 Polish Republic,1
signatures,1
first WSK months,1
Basic  education,1
Solidarity Solidarity Solidarity,1
20  January,1
Igor Hryvnia,1
1958 Wiesław He,1
temporary  member,1
1981 protest action fields,1
1983 food 1989,1
Teresa Maria Hulboj,1
1983 health she,1
Andrzej Huniewicz,1
underground independent university Kolporter,1
1982 coordination committee founder,1
1984/1985  co,1
1990 Altair Air member,1
1994 Employee Plan Paid,1
1989 trade union Organizer,1
Ryszard Gołda Ryszard cycle,1
Romuald He,1
Aleksander Hall,1
1986  Administrator,1
Leszek Moczulski,1
Solidarity trade P,1
secret  member,1
1950 Jan He,1
1964 Worker Polskie,1
2002 Dignity Retired,1
2016 III He,1
organizer Civic Committee,1
1981 i Organizer,1
1996 zm.5 graduate,1
strong Łomżyńska Chapter;dean;From,1
Charity Social organizer,1
TZR TZR judgment,1
1991 Deputies Civic Committee,1
2007 General Władysław You,1
26  1982,1
1942 born11 He,1
provisional Organizational We,1
Huting Section Huting i,1
independent Lodz association,1
2007 RS he,1
1944 Dub He,1
1982 magazine Member,1
Awarded,1
16  VI,1
domestic  service,1
industrial Investment he,1
1949 Stefan He,1
degree VII IX,1
1980 August agreements;After he,1
2008 Catholic authorities,1
1998 American Republican he,1
scientific Intelligence Club.1981 she,1
II education she,1
independent publishing he,1
Production  enterprise,1
sentencing garrison sentences,1
9 TW XI,1
1984 S.W. Sakwy,1
KW MO p. V Rusw,1
1944 on25 He,1
1980 PZPR he,1
9 presumption XII,1
Independent Government Trade Union,1
Railway he,1
1960 zm21 III graduate,1
b.8 III provinceGreater He,1
Agriculture Plenipotentiary,1
permanent Nszowiek collaborator,1
underground Jerzy President,1
1941 zm.5 He,1
compiper.1983 GOS 1989,1
1974  Employee,1
30 Kolporter Underground,1
1984 production Repressed,1
underground wife Stanisława,1
Field Activist,1
Jerzy Jan Grabowski,1
1985 years Agreed,1
1989 TV Information realization,1
Stanisława Halina Grabska,1
1990 Holy God,1
1981 Factory Committee,1
here Postage stamps,1
production center Chairman,1
1978  co,1
then election owner,1
1985  LektorPolish,1
Grzegorz Cezary Jaczyński,1
Tygodnik activist,1
Wrocław Lower he,1
area).1982 1989 Bożena she,1
1985 Andrzej he,1
1967  He,1
27 arrest January,1
Białystok;Since Chairman RO;1993,1
1985 Player;1988 1989,1
housing Gdańsk Lenin,1
Polish  Republic,1
1953 Zbigniew Piotr He,1
1986 Unicum Labor activist,1
1983 V KS Mo,1
1944 born8 He,1
1984 warning it,1
Maksymilian Krakow founder,1
Tadeusz Jancziszak,1
1978  member,1
bornJuly Marek He,1
dozen Archbishop times,1
biblical Saint Reflections,1
Tadeusz Reytana 1981);1981,1
1989–1998 Polish Katyn Manager,1
directorPress Trade Union offices,1
Academic Stanisław Kostka,1
communist III authorities,1
2006 d.15 graduate,1
unknown radio investigation,1
Now Committee Civic Committee,1
Where Lviv you,1
1940 K. He,1
1983 KS Mo,1
then Factory Committee,1
1999 District Employee,1
Zbigniew Iwanów,1
1971  Magazine,1
29  V,1
1949 Stanisław Antoni graduate,1
Andrzej Stanisław He,1
1982 Provincial judgment,1
1984 KW He,1
1999 d.10 He,1
educational Bureau President,1
1985 Edward he,1
S  he,1
legal Social Conciliation adviser,1
1982 Kielce he,1
1980 factory Chairman,1
2010 zm.3 He,1
1981 Protest participant,1
1944  Germany).He,1
1981 designer prints,1
1982  Trip,1
26 Torun XI,1
2002 trade Chairwoman,1
then December he,1
1943 born5 He,1
Kapelane Gdańsk S,1
1951  Brigader,1
2009 ABP.Sławoj Leszek he,1
1969 Socialist VI,1
1981 vice member,1
1982 IX he,1
1980  IV,1
independent Komuny Paris,1
1956 born3rd He,1
VII 1964 VII He,1
2000 zm.28 He,1
Russia i,1
foreign press XI,1
1985–1986 Temporary IV,1
1995 Stalowa He,1
48 Stone Student,1
therefore District Court,1
Indian Low he,1
time SOR Sor,1
1981 IV KS Mo,1
Great K. authorities,1
Jelczanic car which,1
laying Home who,1
Wiesław Janowski,1
1981 IX member,1
1993 Local -,1
1934 born31 He,1
6  IV,1
III 1955 Łaczka k. He,1
1973 Monter Driver,1
30 months XI,1
1984  Mechanic,1
2007 IPN Protection member,1
1936 Ryszard Antoni He,1
24 protest XII,1
Adam Jawor,1
Jacek Kaczmarski,1
1955 Stargard graduate,1
monthly Tygodnik letter,1
third trade participant,1
1981 Extraordinary he,1
Marek Bogdan He,1
1989 Club Jan Participant,1
when Ursus we,1
Edward Jaroszewicz,1
1970 Provincial Court,1
Uninterrupted publishing Thoughts,1
1967,1
several  Destruction,1
1949 on18 He,1
1982  Member,1
1989 Taxi driver,1
1939  He,1
martial employee he,1
1983 St. 1985,1
1988 VIII Participant,1
honorary  badge,1
1991 d.16 He,1
26 Warsaw VI,1
1980 I member,1
2002 Gliwice radio key,1
1940 Andrzej Bartłomiej He,1
martial Silesian Dąbrowski It,1
Oct,1
co -founder,1
national East Olsztyn,1
Mirosław Jasiński,1
1980 Independent Participant,1
15 Artist Artist XI,1
1939 d.17 Germans,1
Supported opposition he,1
repeated  he,1
Tomasz Jastrun,1
1981  a,1
possible Developing She,1
28  1982,1
1956  Teacher,1
1980 Tadeusz who,1
1989  1992,1
new victim organizer,1
1982 registration 1989,1
1987 Sejm founder,1
29 PZPR VI,1
Weronika Maria Jezior,1
1984 emission Cooperation,1
Youth conspiratorial Kolporter 31,1
22 Świętokrzyskie VII,1
IX 2 IX XII,1
1931 Seweryn He,1
1952 Pop Secretary,1
Mazowsze money,1
thanks Chełmno Marian case,1
Several Jacques times,1
electoral  she,1
1991 Scientific lecturer,1
appointment,1
political Warsaw Author,1
scientific IH Poland Semitism,1
1993  Świat,1
Second strike participant,1
1955 Zielona He,1
independent publishing KW,1
Lublin which,1
2005 zm.15 He,1
"including""Wola Wargin Kolporterka",1
Urszula Irena Jędrzejczyk,1
1986 Pop Casual,1
1939 zm.29 He,1
currently Solidarity Association Toruń,1
academic University cancellation,1
2005 Stefan Chairman,1
1934 born2 He,1
1986 Stocznia Gdynia,1
printing  17,1
1981 Głos Szczeciński,1
1992 Center organizer,1
Dariusz Marcin Jędraszak,1
independent Uakademia they,1
Club Independent ',1
1989 Skomite Civic Committee,1
1980 Predom Chairman,1
few Predom he,1
own Second business.2003,1
Tomasz Jędrzejczak,1
1989 Pump Conservator,1
1981  author,1
24 Bogdan IV,1
Day Solidarity Wola,1
Franciszek Jurolajć,1
underground Roman Pawłowski);She,1
Kazimiera Jurkiewicz She,1
revolution,1
9 Pilskie VII,1
1988  Manager,1
former bastard canon,1
Committee Medical Academy.1993 He,1
6  XII,1
1983 Warsaw Mrad he,1
26  XI,1
Commission.9 11 Commission.9 organizer,1
Dariusz Jaworski,1
Regina Jung,1
1980 Independent wife,1
1984 Dystrybucja Kolporteż co,1
1971 trade he,1
19  referendum,1
Władysław Dzaczka participant,1
9  I,1
Professional Niejni trade unions,1
Trade Unions Jarocin he,1
2001 d.2 USA.He,1
participant city collections,1
1981 National Chairman,1
1987 Tadeusz Pyrtaka,1
exempt reasons;3 investigation,1
2008  Welder,1
then World War he,1
IX 1945 Bielsko He,1
1985  1989,1
1983 health;fired;In he,1
1956 Jacek Maria He,1
economic Bielsko President,1
Kazimierz Kacprzak,1
1981 Isolation.1982 1989SKKOMISJA Kolporter,1
responsible strike Kolporter,1
banner trade list,1
1983  driver,1
1959 Stalowa He,1
1991 Member COMMISSION,1
Edmund Hubert He,1
1985 Lubin Members,1
national  specialist,1
Krzysztof Jasek,1
25 Marek He,1
together drink source,1
legal Stanisław 1982–1986,1
Dr.,1
23  2005,1
1988 Henryk participant,1
Cooperator,1
2000 Filling He,1
30 HSW VIII,1
song Z. walls,1
Masically  songs,1
investigation Lublin.23 ZW.with,1
1980 August Member,1
1978 Greek Catholic investigation,1
Scientific  decorations,1
1980 Theological Academy,1
-organizer Tax S,1
repressed Charystwna Brygida,1
1937 Polish he,1
1939 National President,1
1945 Provincial he,1
criminal  he,1
1989 Christian author,1
Solidarity R;1984 He,1
1937 Stanisław He,1
1988 KS member,1
1955 work he,1
now Black Ukraine).He,1
1976  1978,1
1980 deputy chairman,1
1949 Lubuskie Voivodeship).He,1
Bachelor Order,1
4  IV,1
1989 d.28 cancer).He,1
local 25 II,1
1990 Western Pomerania proxy,1
night worker,1
underground employee self it,1
1995–1998 City 1998–2004,1
16  VII,1
Janusz Ryszard Kalbarczyk,1
Three print times,1
Stanisław Kaleciak,1
Paul II.1987 he,1
1994 People Christian 1998,1
1962  1985,1
a FIS publishing hours.(SB,1
1949 Jarosław graduate,1
then service IT,1
1980 Founding Bureau,1
Aleksander Kania,1
Again  worker,1
1983 Marian Lipski,1
Municipal  retailer,1
then  President,1
currently born25 Ukraine).He,1
1989 warning member,1
1951 Konstancin He,1
various trade 1989,1
"1980 S"";1980 1981",1
9 removal XII,1
2001 Employee Bud IPN,1
16 Zdzisław VI,1
member factory commission,1
cultural Piotr income,1
1943 Franciszek Józef He,1
23 Provincial 1982,1
1981 Romska Editor,1
1948 born8 graduate,1
again welder;III VI,1
II 10 II IX,1
1955 Jan Karelia).He,1
10 born18 IV,1
again Committee Civic Committee,1
Zakładowa B. she,1
1947 Nowa He,1
same prison judgment,1
1977 Academic Distribute organizer,1
1977  1982,1
1965 Jerzy He,1
1985 Fabric Railway Arrested,1
1931 K. He,1
1949  Hammer,1
occasional Catholic Intelligence founder,1
1992–2002 Lubaczów member,1
Golden Cross,1
materials,1
operating Gdańsk organizer,1
1959 born5 He,1
1 3 II,1
made B. leaflets,1
1932 Ostrów He,1
good Wojciech Staszewski,1
Jan Krzysztof Kelus,1
Solidarity pensioners s,1
2013 departmental Lustration Office,1
COBIRTK Polish He,1
young Lass aid he,1
then President Rzeczpospolita graduate,1
1954 born16 He,1
anti  projects,1
provisional Podkarpacie Kolporter,1
Andy he,1
Title laureate,1
30 VIII member,1
XII 1981 XII Council,1
old born14 He,1
psychiatric province which,1
1981 Siedlecko Podlasie he,1
1973 service.1972 Steel,1
16 SW IV,1
Jakub Karpiński,1
monthly . Marek editing,1
Minds DYR.Political Institute,1
1977 Co - organizer,1
2 IX proceedings,1
26  1977,1
instructional meeting who,1
1970  Tokarz,1
underground OO Jesuits,1
III Prison he,1
1994 Nszowień delegate,1
1982 Karwacki born.8 He,1
Rokita Commission,1
Silver Medal,1
1943 b.21 She,1
1990  President,1
1963  Appective,1
1980  collaborator,1
medal,1
1968  apprentice,1
underground Andrzej publications,1
1994 Vice President,1
1980 Marian he,1
24 removal VI,1
1953 Witold Ryszard He,1
9  VI,1
1984 Nizinne Autobiography,1
Polish Catholic he,1
1991  He,1
4  IX,1
5 IX MKMISSIA,1
8 M. Judgment,1
Solidarność trade S,1
Kolporter underground Tygodnik 1989,1
calledFlying Polish courses,1
1946 Jelenia He,1
Physisja Zakładowa XI 1982,1
Spiritual  guardian,1
Kazimierz Ferenc,1
"including""Solidarity Malopolska times",1
2009 folk SKL,1
multiple Underground Publishers;1983 searches,1
1964 born28 He,1
S Kutno land,1
effectively  army,1
difficult  conditions).He,1
father).After 1960,1
1934 East K. He,1
repressed Dzierżek Świętosław Fortuna).SB,1
Andrzej Kędzierski,1
1989  Librarian,1
where employment he,1
incorporating renovation building employment,1
literary Washington Polish lecturer,1
KS MO SOR Mathematician,1
1947 Michał graduate,1
1976 Factory psychologist,1
private  member,1
general Strike Committee,1
1995  chairman,1
7 VII 1977 19,1
9 New XII,1
1930  graduate,1
responsible Mister Comfort,1
new War which,1
includingPolish  peasants,1
2008 Historical Extraordinary,1
1956 Fame 1968,1
pastoral Jan Author,1
martial Constitutional she,1
Danuta Kędzierska Sadowska,1
several Tri times,1
Currently  President,1
Zbigniew Kowalewski,1
CDN CDN CDN magazine,1
Leon Kieres,1
1962  V,1
1989 Solidarity Solidności XI,1
1952 Kazimierza He,1
W  from,1
9 Nowa Huta V,1
2002 member National Committee,1
7 St. May,1
1981 trade Co,1
1 State Clinical VII,1
journalistic printing workshops,1
1924 History studies,1
administrative Zabrze Power He,1
1981 printing He,1
Dedal.1960 State Publishing he,1
1978 COMMITTEE COMMITTEE Co,1
1955 Kunice He,1
1983 Zielona 17,1
"domestic editor note""Gazeta 1993",1
1957 Sejm Poland he,1
underground  what,1
1966 Theater actor,1
currently Wanda Maria She,1
2007 Conducting classes,1
"1988 Reduta"".21 III He",1
Skwer,1
Zenobia Kitsina,1
law A He,1
religious St. Klemens educator,1
1970 III participant,1
2007 Vilnius He,1
organizational team Grobla,1
1970 Object Industry 1974,1
legal Holy assistance,1
1950 Employee factory,1
main Zielona We,1
1 balance IV,1
1995 Councilor member,1
independent NOW 1977–1980,1
Academic Lourdes.1976 He,1
18 PSM C. XII,1
mainly Praga North apartment,1
Solidarity Witold Sitodrukowa,1
where PW strike,1
1973 M. Skłodowska Curie,1
opposition Republic,1
16  1982,1
1954  1960,1
Hanna Janina Klonowska,1
Katyn  he,1
1987  co,1
black High we,1
informal Independent Association,1
1975 Catholic Habilitation,1
Dominican novitiate,1
1976  organizer,1
1980  Signatory,1
1977  VII,1
more Leszek dispute,1
multiple UNESCO General President,1
1999 Paris IV member,1
Militari V Cross,1
1958 Medical he,1
1961 born3 He,1
1981 Medical Academy starving,1
1982 I printing,1
social Andrzej Michałowski committee,1
2011  Warehouse,1
indievment trade head,1
structure information Participant,1
1948 born4 He,1
13 Naval Court,1
SB,1
1955 Buddy K. He,1
third police he,1
interned printing Kolporter,1
1957 b.5 He,1
48  he,1
1988 A member,1
Jerzy He,1
Mommisja he,1
departmental strike committee,1
Committee Bureau he,1
Jolanta Kmiecik,1
assistance);several St. times,1
Zbigniew Knap,1
1955 Roman He,1
Zdzisław Kobyliński,1
S Founding PKS,1
2 Gdańsk Lenin,1
I Individual II,1
1980 III he,1
communist  he,1
14 Wiesław Sylwester He,1
military PZPR Factory service,1
2005 Józef He,1
mainly Zofia Zofia Chairman,1
Marek Leszek Koczwara,1
1981 24 VII,1
1982 Main Engineering Pozchrolasie,1
based  standard,1
2001 Plant Tabor he,1
hour Nowy member,1
2003 Wiesław He,1
Printer Leaflocks employee,1
1989 trade performed,1
Grzegorz Kolosa,1
1989 26 Participant,1
1993 Śląsko Dąbrowski she,1
1969 Warsaw University,1
"weekly simply"";1958 1973",1
housing cooperative housing 1986–1990,1
1959 Andrzej He,1
own Workbook he,1
2017 zm.9 He,1
1955 born7 He,1
1974  1982,1
monetary SW he,1
18 III 1985,1
1990 Azwazek setographer,1
1966 Knight Cross,1
IX 1961 IX He,1
1977  1980,1
1947 Halina Zofia She,1
"S"";in  chairwoman",1
there;27th km 1982,1
2006 Golden Medal,1
2014 Nowy He,1
Vice Incial Commission;W,1
WatchThe kw,1
1986 radio broadcasting Employee,1
1942 Born.25 He,1
1982 labor 1987,1
1989  participant,1
III 1943 III She,1
leaflets.1981 writing 1989,1
1988 Kornel trick,1
ordinary Management member,1
1984 Water 1989,1
1967  Górnik,1
1952 born28 He,1
1989 dozens times,1
1990  Casual,1
9  IV,1
Literary film he,1
1931 D.2 1950,1
underground Stanisław publications,1
1954 on12 He,1
1978–1983 Polish State Brigadier,1
American Aircraft Corporation employee,1
1981 I -,1
1972 Engineering 1983,1
high Fame Scouting school,1
special Czerwony Tiger,1
Janusz Kopera,1
1981–1986,1
Marian Kopko,1
Vi,1
independent  writings,1
1949 Kazimierz He,1
1982 Kazimierz he,1
2014 zm.14 He,1
1981 coal coal member,1
again Ostrów Manager,1
member National member,1
where language school he,1
III 1934 Sadzień He,1
3 Polish VII,1
1981 Working broker,1
1943 born21 He,1
Runotex Runotex he,1
1982  -,1
1981 Printer creator,1
1982 family he,1
economic  activity,1
1996 South Wielkopolska he,1
2008 zm.21 He,1
S. he,1
L. he,1
1981 Białystok Committee,1
1986 leaflet She,1
so WatchIIIA KW Product,1
again  member,1
1 Blessed Virgin Arzech,1
interregional Kalisz Konin she,1
interrogated.1988,1
1927 Stęgoszy k. He,1
Mikołaj Kostecki,1
1982  we,1
1946 K. Ostrów He,1
Lech Kosiak,1
North Kawęczyn.25 XI,1
again  5,1
1953 Kosiba He,1
1984  1989,1
2012 d.21 She,1
when  party,1
1984 Solidarity 1986,1
Mediacies,1
3rd Solidarności XII,1
Ud HM Initiator,1
1981 6 organizer,1
25 Strzelce VII,1
1988  Author,1
2007 Poland Europe Casual,1
1958 Foreign school,1
1983 Catholic Intelligence wiretapping,1
distinguished  medal,1
economic Solidarity Exchange which,1
2008  graduate,1
-fabular  he,1
Delegate,1
1958 State Higher leaveDrama,1
2010 PO President,1
1960 born10 He,1
1979 Farm VII,1
fibrous linen he,1
2004  He,1
-feeding pension contributions,1
1980 Governing Trade Delegate,1
2008 d.22 She,1
older Referent Nastars,1
self -education printing,1
"collections.1982 1988 Trade Solidarity"";She",1
Co  -,1
1982 28 1982 VII,1
3  appeals,1
SB Jasna,1
military ZPDZ Polo he,1
1986 ZBZ Prague participant,1
1982 Special participant,1
2007 zm.10 He,1
III 1946 III He,1
22 Housing December,1
1989 Scientific Employee,1
90 City Ustrzyki member,1
1961 Paweł graduate,1
1986  case,1
then vice president,1
beatification process,1
1950 Red He,1
Olsztyn Main He,1
1982  1990,1
Stanisław  cat,1
2014 d.12 He,1
Medical proceedings,1
2007 d.16 She,1
Jerzy Kowalczyk,1
3 Ewa February,1
1983 d.8 he,1
2002  investigations,1
Maria She,1
1990 member Delegate,1
Radio TZR meetings,1
77 Charter He,1
Jan Kozak,1
1989  Chemist,1
14th Factory Committee,1
1987 Provincial co,1
1957  Tailor,1
organized strike he,1
Financial et aid,1
Sergiusz Kowalski,1
independent Poland publications,1
kingy;He,1
free trade Coast;Among,1
"""December 1984 ""December II",1
1982  microfilm,1
priestly Philosophy 1990).He,1
1990  1993,1
Committee,1
7th District sentence,1
. Tomaszów chairman,1
Jarosław Kozakiewicz,1
Ośr co 12,1
where press).8 V he,1
law Małopolska break,1
