,target
editor documentary blackboard,1
Foundations Video Studio Gdańsk,1
2008 d.13 Sulejówek,1
1983 Holy Trinity,1
technical Stock Repair Oleśnica,1
President MKommisja National Niezniezek,1
Committee Aid Oleśnica;COMMITTEAR,1
vocational Dąbiu Nerem,1
1989 Independent printing,1
cultural Higher Pedagogical pedagogy,1
1950 Rzeszów Aviation,1
1988 Aid pension,1
Polish Lisków,1
anonymously Basil Write,1
Stanisław Pyjas.1978 Stanisław HSW,1
2004 Alek production plant,1
1981 lubelskie strike,1
10 trade apartment,1
martial state Lublin,1
University Electrical Lubelska,1
1978 Centrum Tamże,1
10  apartment,1
S health region,1
1981 Advisor Lech Wałęsa,1
School Aspirant Krakow,1
1989 SOR KRPT.Committee,1
crossing crosses,1
currently Operational Dictionary Distribution,1
central ship construction,1
Social Works Committee,1
radio police Gdańsk,1
Initiatives publishing FIS,1
Technical School Tamz,1
independent government day,1
1986 Main BoardRudna,1
University leaveIndustry economics,1
1st Central Eastern ZR,1
Railway Technical Lublin,1
production enterprise BudoPrzy,1
1989 SOR KRPT.Continuous,1
underground blood meetings,1
1985 Ostrów Wlkp,1
official  Poznań,1
Philology 1985,1
unknown radio perpetrators,1
KW MO SOR KRPT.Mimosa,1
pastoral Stalowa Wola,1
there St. retirement,1
technical car Krakow,1
16th High Warsaw,1
S District Railway Directorate,1
1989 Music Gdynia,1
posthumously Rzeczpospolita Polska,1
Oil Sp.from 2009,1
then Ship Device PZPR,1
President ZR Defense conviction,1
3rd  XII,1
Wrocław 1983,1
pastoral care participant,1
vocational  Szczytno,1
physical forest districts,1
construction Masurian Kamionek,1
2004 Polish Sciences,1
main Social Primate opposition,1
same garrison case,1
Silver Polonia 1957,1
initially Gdańsk Technology,1
1981 Dycharotewo K. Gniezno,1
1988 Nafty Gdańsk,1
1989 Department Gdańsk,1
Warsaw.1986 1989 Lower Silesia,1
then Warsaw amnesty,1
1981 Warsaw Białołęka,1
Shooting brigade,1
Solidarity Scientific Courses,1
then Working Ling,1
1985 AŚ Warszawa Mokotów,1
1982 born16 2001,1
two  letters,1
independent self education circles,1
48 Gdański fine,1
student Radom Warsaw,1
departmental company committee,1
patriotic Holy Piła,1
2 law Wrocław,1
Śl.1978 Sheep KPN,1
independent trade letter,1
Trade Unions Sheep Wałbrzych,1
administrative  day,1
vacuum cleaner Góra Puławy,1
protective Radiological Protection Warsaw,1
IIIA EC Krypt,1
political election magazines,1
councilor,1
Railway Technical Bydgoszcz,1
housing Provincial Specialist Hospital,1
Polish Radom village,1
trade 1992,1
party;1973 1980 Polish Electrician Association,1
online Scientific Warsaw,1
then Europa Polonia Warsaw,1
golden Catholic Film Niepokalanów,1
vocational WSK Krosno,1
illegal 30 publications,1
Pensioners 'S,1
Commission  IMW,1
high Stalowa Wola,1
3 Food Packets,1
Italian trade Viterbo,1
provincial  Kalisz,1
48 Robotnik searches,1
when  system,1
2007 IPN college,1
high Jelenia Góra,1
Christian St. thought,1
2001 Provincial Katowice,1
unrealized Government postulates,1
basic construction Słupsk,1
2010  neighbor,1
vocational Industrial Installation Białystok,1
Edward Lipcem,1
cooperative Student logo,1
underground Bielsko Hutniki,1
1986 Kamienna pension,1
1984 EC crypt,1
1961 Pedagogical School Tami,1
"Olsztyn ""Gazeta Olsztyn",1
electric  Poznań,1
MR representatives MR S,1
1991 Wielkopolska pension,1
1965 provinceParty court,1
gross protest action,1
2019 Higher Pedagogical Szczecin,1
Belarusian SRS,1
magazine Marek Adamkiewicz,1
logopedic  logopedia,1
leaveHumanistic Polish Philology,1
Delegate Lower Map,1
Lower manifestation,1
2005 PO list,1
FacultyIII SOR KRPT.Physicist,1
Underground Independent Student PWR,1
1988 Vice Project,1
industrial Polish Aviation lobby,1
Parking employee Irena Broda Zakopane,1
independent A publications,1
independent scout traffic,1
underground Workman Wrocław,1
Staff Council,1
Silesian Opole,1
1976 plastic processing mechanic,1
Ministry Committee Strike Committee,1
Repeatedly publishing revisions,1
1954 Wrocław Technology,1
Semaphore  letter,1
mechanized Dolnośląska Crafts,1
1981 Audit Delegate,1
several material strength,1
1988 Dekada reprints,1
member Eurofinance IPJ,1
12 production Wydz,1
Solidarity Individual province,1
1.5 imprisonment3 retirement,1
Maria Skłodowska Szczecin,1
financial help striking,1
2006 company Denmark,1
2010 Vice Party,1
pastoral St. Antoni,1
Nowy Sącz EC Krypt,1
48  interrogation,1
FacultyIII crypt sauce,1
Railway Technical Warsaw,1
S initiative Polmo,1
ecclesiastical Primate Józef West,1
literature,1
editorial  office,1
Committee Trade S,1
then SWS KPN,1
1979 Independent Małopolska,1
1989 Feed Industry Krakow.1989,1
Polish  relations,1
1st High Gdynia,1
1980 Management Gdynia,1
1981 craft Gdynia,1
1992  prof,1
1981 Radom Village,1
Scientific Society Lublin,1
1999  2002,1
first WSK PZL VII,1
grade  shooter,1
1945  Nysa,1
TW USA,1
1 school Gdańsk,1
1981 ZR Gdańsk,1
3 months Gdańsk,1
Rud Lubin,1
general Jakub Legnica,1
independent Trade country,1
1982 Vice - milling,1
2000–2001 Mazowsze ZR,1
then Incident Committee,1
Scientific Criminal WatchRights,1
Lida;1938 1939 Higher 1950,1
Stage Artists Szczecin,1
1975 4.6 builder,1
sentenced sentence byNaval Gdynia,1
1989 POIW Region Wielkopolska,1
Solidarność Nszowień retirement,1
1989 FW Ponar,1
1983 p. V KRPT.Derived,1
1991 ATA MOROWKOW,1
Mariusz relationship,1
high  Morag,1
SW Tamb,1
extraordinary  surgery,1
extraordinary Supreme allegations,1
horticultural  company,1
2000 UOP retirement,1
University ofMaria Curie Skłodowska,1
Reference Working them,1
criminal law law,1
1970 occupation strike,1
3 lectures.15 university,1
following Wochotnicza Fire ul,1
S  structures,1
Fire Scouting Association,1
1996 Information Services Agency,1
agriculture Wrocław,1
dangerous innovations ITO Białystok,1
1981 Rzeszów Region,1
V-1 EC KRYPT.Contacts,1
western trade unions,1
Solidarity Region Małopolska,1
leaflets  printers,1
1981 National Professional Niedzielek,1
2010 Friends Pro retirement,1
WEOK BLIE BIAŁA,1
1980 Kolporter Independent Workman,1
Solidarity cradle,1
high Richland Community Dallas,1
48  apartment,1
open Provincial Chorzów,1
1979 Maritime Gdynia,1
vocational Gostyń Wlkp,1
1981  VII,1
Belgium,1
technical Julius Lublin,1
7th  1984,1
Regional Patriotic Song Festival,1
underground Grzegorz Socha,1
twentieth Felix Jakimowicz,1
pastoral Praga homeland,1
free Provincial Public holiday,1
IX 1985 IX apartment,1
Dublin City University,1
official Radom workers,1
parliamentary Western Pomerania June,1
1989 Workbook Lublin,1
1980 KBWE Madrid,1
higher Bartłomiej clergy,1
underground  magazines,1
street VI,1
Technical Secondary Warsaw,1
Gliwice EC Krypt,1
Golden Niepłomni,1
1989 Przedsiębiorstwo Usług Komunalnych,1
2002 SLD UP.Since,1
Sor Committee,1
chemical technical chemical Krakow,1
1986 ATA MORKOWSKI,1
SGO SOR KRPT.Rebus,1
burning program materials,1
Chemical Technical School,1
part time Chemaru,1
70 retreat baker,1
3 Wielki Wojździec,1
unemployed holiday families,1
2000 Poland Philology,1
1980 Lądek Zdrój,1
1985 Polish Independence Party,1
Mo SOR KRPT.Office,1
1981 Sandomierska;In Management,1
2013 Catholic Economics,1
Polish Slawtyk,1
disciplinary Tarnobrzeg profession,1
Polish London Scoutmaster,1
S John Paul II,1
currently Radio History,1
1998 mining Gliwice,1
Creator member Society,1
owner Tajjer plastic studio,1
Democratic Oławski Dekanat,1
6 coal coal days,1
literary trade Record,1
2011 JournalistMelchiora Warsaw,1
1987 Zbigniew s,1
1999 Development Warsaw,1
year  intention,1
parish priest,1
student Wrocław Technology,1
1981  party,1
1981 KW MO,1
1970 Katyn massacre,1
underground RMP environment,1
IV SOR KRPT.Reformer,1
1979);A High School Gdańsk,1
underground Marek Biernacki,1
Association,1
Outdoor Economic Lublin,1
1984 Chełm;27 amnesty,1
artistic Cieplice Śl.(1973,1
last Gliwice manifestation,1
13 S Silesian XII,1
1980 Polish Teachers Association,1
public SW 1987,1
Charity gifts,1
1 Polish Scenes Bierutów,1
leaveIV KW EC,1
clenched Olivia microphone,1
offset Torun Urzosy district,1
civic  Oława,1
1979 ManagementLeon banking,1
Independent Review UMK Independent Minitor,1
1996 government Bydgoszcz,1
Toruń P.VI Sor,1
high Dental Wrocław,1
2000 Dental retirement,1
BoardV Head SOW Krypt,1
industrial Working Tam,1
1976 gas Sopot,1
1983 State Gas Gdańsk,1
then  years,1
Bristol.1991 Atlantic City,1
KS MO SOR KRPT.Organizer,1
political state signatories KBWE,1
exempt August agreements,1
May  1980,1
then production preparation outHull,1
80 film home,1
1983 District amnesty,1
1983 Sor Krypt,1
1989 Staff workplace,1
1984 Home Zabrze,1
EDDA,1
national Courier holidays,1
SOS KLASER,1
vocational  Giżycko,1
prevailing personnel disputes,1
graduate Podlasie Siedlce,1
round Mazowsze region,1
Jerzy Domżalski Ursus turn,1
Knight Poland,1
IX 1948 Electronics Wroclaw Technology,1
black Stanisław Pyjas,1
S Andrzej HW,1
"""  decree",1
ThroughoutIII Sor Krypt,1
secretive Underground Katowice Guide,1
Automotive Technical Gdańsk,1
1981 Portowiec Card,1
punishment.1984–1988 New York,1
Grade Northern Port,1
1864 SB priest,1
1994 Councilor Club Prawica,1
1958 Bielsko Biała,1
1989 wage BŻ,1
graduate National Defense Warsaw,1
Polish  Poland,1
1989 Social Warsaw,1
stripzing  shipyards,1
striking Officer Fire food,1
1995 Lublin 2003,1
psychological county office,1
1971);The family therapy,1
1988 Jastrzębie Zdrój,1
80 Śląsko Dąbrowski region,1
1977  Głos,1
wholesale Underground collectage,1
20th Evangelical century,1
1960 Polish Philology,1
1981 village Warsaw,1
suppressed Jarosław Brasov,1
Metropolitan Warsaw,1
Arkadiusz Rybicki,1
Port Gdynia,1
1984,1
grade Social December,1
1990 RES Public,1
lower  work,1
also  husband,1
Association Dignity,1
KW EC,1
2004 Culture Theory,1
1981 Inspired Bureau Commission,1
1979 Szczecin automation,1
underground Lord Lodz,1
trade unions trade 1981,1
thanks PAX membership identity,1
managerial Poznan 1997,1
1982  stem,1
2000 Radom Technology,1
1957 Maria Curie Lublin,1
2020 Nicolaus Toruń,1
1987 construction combination,1
first National Committee,1
Trade Unions trade 1988,1
Union St. Brother Kielce,1
1982 crypt crypt,1
exit Krajowy 1986,1
1988 occupation Szczecin,1
2000 Social PO,1
deserved Poland Rebirth,1
1981 KDIP reports,1
1986 crypt campaign,1
martial General Wojciech law,1
Open Rzeczpospolita,1
modernity critics,1
registered Polish Paralympic East,1
educational Międzywojewór Dydaktic Poznań,1
prophylactic  survey,1
1981 SOS KRPT.Epik,1
independent Radom Information press,1
student Jagiellonian University,1
1976  work,1
- initiator Banner Working Committee,1
Operator Mechanized Gdańsk Port Board,1
SOR KRPT.Understudy,1
universal Radio Co encyclopedia,1
1985–1986 Temporary HSW,1
Commission  UKSW,1
high  Gdynia,1
1970 street Gdynia,1
1993 El Gaz Gdynia,1
Solidarity trade 1993,1
commercial Szczecin Polish seaside,1
2008 Supervisory Board,1
WatchIII  crypt,1
secondary refrigeration equipment,1
1981 Mkdomisja Zakładowa Kalisz,1
Black Forest,1
technical  adjunct,1
local Polish Budget,1
Club Independent Students,1
1981 trade unions,1
2007 Catholic Lublin,1
1944 Basic Vocational Konin,1
pastoral St. Klemens Wroclaw,1
1930 Economic Warsaw,1
governing Local Government,1
high Pedagogical Technical Gdańsk,1
1987 WIP hunger Wrocław,1
pensioner parish,1
private Tadeusz Szczecin,1
underground Related Sweden,1
Solidarity Individual AR,1
technical Kashubian Pomeranian Gdańsk,1
1999 Police retirement,1
Railway Technical Poznań,1
Belarus Windy Chicago,1
1981 Pilskie Wronki,1
1990 Interlok Sp.z.o.o,1
Legnica Legnica.1980 S,1
religious Jasna Góra,1
medical self help activities,1
construction Kutno,1
Szczebrzeszyn,1
MO EC KRPT.Surgeon,1
commission.1983 Universal Trade Szczecin,1
So K Krypt,1
trade unions State Electoral Commission,1
2012 Newspapers Press 2012,1
SOR KE KRPT.Structure,1
1934 Gdańsk Technology,1
amnesty.1983 1989 amnesty.1983 employment,1
retired.1993 2002 Christian Culture Rebirth,1
independent Juniszewska publications,1
meritorious  activists,1
2011 Golden Freedom,1
30  detention,1
professional mining Lubin,1
old RMP Opole,1
food Siedlce,1
propelled Industrial Krakow,1
own Stanisław Klawe,1
1988–1990 Nowy Sącz,1
1989 Kashubian Pomeranian Association,1
underground Earth Mielce,1
underground  ZSRS,1
economic  Wrocław,1
activists Blessed Virgin retirement,1
socially RS AWS,1
1991 Trainer Chrobry pension,1
S help Siedlce,1
COMMISSION Main Board Rudna,1
surgical Catholic Intelligence,1
Committee Paweł S,1
High Tarnów,1
Staff Befam,1
First Mazowsze region,1
SOR KRPT.Silent,1
Polish Welski Landscape Park,1
Continuing Education .,1
Cieszyn SA,1
SOR KRPT.Emissary,1
nationwide Holy Trinity,1
private printing plant,1
economic  technician,1
underground Dorota Stec,1
Secretary Raba Wyżna,1
design  shipyard,1
1988 Staff Council,1
basic chemical Pustków,1
1 independence anniversary,1
1998 AWS list,1
so III-2 crypt,1
1976,1
Self Trade Union,1
1983  SB,1
Antoni Shovel,1
light life traffic,1
unexplained Bogdan Gołaszewski circumstances,1
2002 Bytom Odrzański,1
Polish Skackień,1
striking Solidarity Huta,1
martial conspiratorial law,1
2004  Poetry,1
Tourist Academic Lublin,1
National Security Poland,1
Golden Freedom,1
driving  license,1
2006).A Archenic 2013,1
KW MO SOR KRPT.Rebel,1
Raba Wyżna,1
2003 d.13 Rzeszów,1
pre Szczecin Kasprowicz Park,1
1988 student Szczecin,1
201 Lech votes,1
responsible Polish Christ,1
1988 Welter Zakopane,1
first COMMISSION COMMISSION COMMUNITIES,1
1987 SOR KRPT.Paver,1
public  Low,1
Wood Jarocin,1
Solidarity labor law,1
first Program PZPR,1
presidential Rzeczpospolita Polska,1
40 Catholic law,1
together Helena Mackiewicz Wawel,1
2 SOS SOR KRPT.Kacper,1
1st Pedagogical Opole,1
Happening orange slogan,1
S Polmozbytu;In VI,1
service company Rotoni SC,1
Iława,1
1996 Russia).A prof,1
Warsaw;1998 2002 State Control ABW,1
Management Plant retirement,1
KE KRPT.Comet KE tourist,1
1952 Szczecin Technology,1
Stanisław Krakow,1
IX 1981 Independence Services Clubs,1
interned revision);10 VII,1
several et country,1
1980 Lech Wałęsa,1
Solidarity Lublin 1995,1
intra -union use,1
agricultural machinery Kutno,1
electronic Supervisory plants,1
radio emissions radio Toruń,1
Automotive Technical Olsztyn,1
fine culture.31 proceedings,1
Region Pro Patria,1
Mr. V register,1
"independent publishing houses""Goniec Małopolski",1
supernatural Chorzów Batory,1
Bulletin Konrad S,1
altus cooperative Altus altus worker,1
Culture Section,1
tuberculic Psychiatric hospital Otwock,1
Bioenergotherapy Polish Warsaw,1
last V High consent,1
technical Navy Gdynia,1
maritime Pomeranian Sorberman,1
11th Zdzisław Głodówka,1
heat Slow Word Warsaw,1
SO V crypt,1
high  Głogów,1
1985 Polish Gdańsk,1
high Machine Gdańsk,1
1986 High Services Gdańsk,1
foreign strike Committee journalists,1
riding 5Maria instructor,1
9  iv,1
"1980 S"";Member Committee Committee",1
1980 St. Stanisław Szczecin,1
patriotic Marian Lublin,1
1990 editorial weekly,1
20).1983 Wojszyce GM.Bedlno,1
then unemployment 2004,1
then Christian Kutno,1
Płock crypt sauce,1
1945 Jagiellonian University,1
"including""Workman Scientific Courses",1
1981 Kielce July,1
WYDZIII KW crypt,1
77 Western Grześ,1
Evening Second High Gdynia,1
1986 Solidarity amnesty,1
own advertising Gdynia,1
agricultural accounting Ropczyce,1
7 years Rawicz,1
1981 South Eastern Region,1
Repeatedly Dębica.1982 officers,1
political opposition reasons,1
1988 Socialist Concentration letter,1
printing Folk X,1
Branch plant Giżycko,1
High Pruszków,1
opposition Defense Committee,1
Senior Main Warsaw,1
1984–16 EC crypt,1
democratic Adwokacki side,1
Lesser Poland region,1
1964 Polish Scene,1
3 folk V,1
Ryszard Graliński,1
International Warsaw,1
Copper Committee Independent Publishers,1
specialist rock meters,1
then Company Commission,1
1985 SOR crypt,1
1982 Father Bydgoszcz,1
independent National Niezniazek,1
DepartmentIIIA SOR crypt,1
main Gdańsk Shipyard,1
Production Gdańsk refinery,1
there d.22 sociology,1
central breathing regulation,1
1986 Jasna pilgrimages,1
2004 Home Police,1
track Korab magazine,1
COLORTIC Poster Shares,1
Solidarity pensioners section,1
court experts,1
1981 Health Delegate,1
1991 1982 President,1
1 correction plant,1
special  services,1
2016 Citizens Rzeczpospolita Polska,1
1980 engineering works,1
Committee printing Gdansk,1
1982  employment,1
army,1
presidential Spokesman Lech election,1
1981).Literature  children,1
2002 Polish Science 2008,1
1991 Polish London,1
14 security authorities,1
professional Poznań car tires,1
J. people,1
Polish Poland,1
district parish God,1
martial National law,1
Communist Polonia Book inside,1
Polish attorney.1981 lawyers,1
Bogusław others,1
law Kalisz,1
"Solidarity"";1992 1995 Automotive Industry 2002",1
professional  Świdnica,1
activities;A  Warsaw,1
Professional Nieznie,1
mechanical  Łańcut,1
1986 carpentry plant,1
numerous Mieczysław Halki apartment,1
SOR KRPT.Kama SOR Kompania,1
several  presbytery,1
St. Jakub Szczecin,1
1944 Cracow Technology,1
searches.1983/1984 Krakow Bieżanów,1
National PO,1
1983 poultry producers association,1
twice  fine,1
1989 WIP Movement Krakow,1
Ośnie Lubuskie,1
political Wielkopolska prisoners,1
1982 Social Toruń,1
Outstanding Central Warsaw,1
pension,1
Primary School,1
1984 Zamojska Razytocze 1920,1
1984 SOR KRPT.Firemen,1
includingWhen customer registration cards,1
1964 Law sociology,1
Sikorska wife,1
public  Azerbaijan,1
Prószyński Jan Krzysztof Kelus,1
vocational  Toszki,1
1977 centrumio property,1
1988);Historical Lord flood,1
3 glass glassworks,1
IX 1939 IX true,1
1982 Protest FSO,1
political RS PJN,1
ThroughoutIIIA Sor Krypt,1
industrial  school,1
Bewelery Committee,1
2002 Bielsko Government Coalition,1
reactivation PHOMISSION factory,1
1984 Sor Krypt,1
Delegate trade SolidAmności,1
public Regional activity,1
Zdrój SA Philanthropy Poland,1
1981 Management BoardRegional,1
1939 Medical Łódź,1
newspaper,1
2008 d.10 Warsaw,1
striking signatory shipyards,1
Polish Jalta perspective,1
Polish FriScattered letters,1
1954  Gdańsk,1
revision,1
1981  VI,1
there Witold Marczuk,1
secret Deputy retirement,1
SOS KE KRPT.Kiosks,1
again Mera Zap,1
Usługowa Cooperative Międzywojewódzie Usługowa Gdansk,1
new  ZW,1
Solidarity Congress Committee,1
1983 opposition wilderness,1
Telewizja Polska company,1
Edward exile,1
founding Polish Socialist Party,1
1 Secondary School Krakow,1
independent Works Małopolski,1
Committee Huta im,1
2009 Solidarity them,1
house.1987 Wageningen Agricultular Netherlands,1
1987 service company,1
Squiet ServicesMariana Poznań,1
1988 staff pension,1
interrupted Jagiellian University,1
60 Paris Literary PS,1
1996 Zielona prof.ordinary,1
underground School Information day,1
financial Vocational Technical USA,1
Dubiecko.1974 1980 State Machine Bircza,1
1981 Nszowiek Professional,1
1982  Przemyśl,1
Grade III 1968,1
Scientific Courses,1
Chronicles November Dedal,1
SOR KRPT.Pegasus,1
1 metal school Lublin,1
State High Gdynia,1
1983 years state,1
high  economic,1
Pop Secretary,1
contemporary tourist Szczecin,1
online Provincial America,1
Polish SceneChapdom Theological scenes,1
S theater Gdańsk,1
speech Gdańsk,1
1933 Catholic 1966,1
S  Lublin,1
high  Gdańsk,1
holiday Nów,1
1989 FacultyV-2 susw,1
1980 Sejm Polish work,1
III SOR KRPT.Caesar,1
1983 Worker Walcowi Hagen,1
1986 Underground 1995,1
independent Polish publications,1
1954 Fire PZPR,1
main farm retirement,1
St. Michael Sława,1
Góra EC crypt,1
independent NOW university,1
new parish Church,1
screenings;Repeatedly Parish poor,1
48 Academic revisions,1
2nd PW area,1
1989 SOR KRPT.Sovereign,1
higher planning Gliwice,1
KS MO SOR KRPT.Klimek,1
economic Technical School Warsaw,1
material  pension,1
20 Polish Scenes retirement,1
founder President Factory Commission,1
new Warsaw publication,1
then  Grodkie,1
Professional Nejrezek,1
1952 Warsaw Management,1
Polish Poland ZSRS,1
free school youth,1
subordinate Order Interior,1
Warsaw;1960 Fuel Magazine,1
1996 Provincial Combined Piła,1
Pontifical Krakow,1
Theological Pontifical Krakow,1
young Roman Graczyk,1
mystical John Paul II,1
1967 Adam prof.ordinary,1
1991 Paul II Rome,1
2002 Ukrainian Lublin,1
Polish Merit III Kl,1
1972  professor,1
1980 ZR ZR Biochemistry,1
technical Komuny ships,1
KPN activists,1
1983 Gdynia.6 ZK,1
SolidAmności Andrzej Michałowski Gryps,1
domestic food industry,1
economic WEMA 2014,1
vocational  Rzeszów,1
1980 WSS Łańcut,1
electoral Party EN.1992 Poland,1
chemical technical chemical Płock,1
1981 Industry Gdańsk,1
1991 Gdansk refinery plants,1
train Szczecin,1
Radom  workers,1
1 General Construction Tamż,1
Przemyśl.1994 Board.1990 Sanok,1
vocational Professional Gdańsk,1
BP interventions,1
1949 Warsaw Technology,1
then Regional Office,1
1988 Warmian Catholic Club,1
Mo EC registers,1
1952  Warsaw,1
1991 craft Sulejówek,1
graduate Higher Gdynia,1
1984 Musical Gdynia,1
twenty Mariusz years,1
independent Radzimierz city,1
25 III 1982,1
1988 AŚ Warszawa acquittal,1
48 St. Stanisław revisions,1
2003 Great Britain,1
3 protest prison,1
May Political ClubLech Bądkowski,1
SOR KE KRPT.Lock,1
mechanical Sacred Heart Fairfield,1
1981 trade Rzeszów,1
cultural Saturday east Connecticut,1
then Radio Free Salt,1
own bus business,1
Polish Scenes,1
social Stanisław government,1
1993 construction Rybnik,1
2000  Poland,1
independent Tadeusz organization,1
currently Kazimierz Administration,1
organizational Bydgoszcz region,1
Ruch Zachem Bydgoszcz,1
KW MO EC KRPT.Waiter,1
1982 Main Engineering 1997,1
physical Kolejary Information work,1
Polish 1982,1
Lithuanian trade Vilnius,1
Mechanical Kętrzyn,1
health Romych Gołdap,1
Mining Committee stone coal mine,1
underground Council Krajowy Mazowsze,1
other Wybrzeże Westerplatte,1
vocational  school.(1956,1
radioactive waste disposal spruce,1
DKF Zigzak,1
photo plant ibid,1
KS Mo SOR KRPT.Mountaineer,1
vocational Sanok bus Sanok,1
9 VII Republic,1
K. Morawiecki,1
Poland Freedom,1
vocational  Kępno,1
State Farm Mianowice,1
released housing cooperative,1
Grzegorz Kolosy,1
EC KRYPT.Clone,1
John Paul Gdańsk,1
Honorary Gdańsk,1
leading trade workplaces,1
48 Western hours,1
Pax Universal Word,1
Polish Political Thought Demand,1
chemical technical chemical Puławy,1
social Puławy Puławy,1
then pardon work,1
Officer Poland,1
Automotive Technical Żary,1
FacultyIII-1 SOR KRPT.Zodiac,1
martial Głogów Memorial law,1
Currently Szczecin Kamieńska,1
SW Wild,1
6 SOR crypt,1
1942 zm.14 III Rzeszów,1
Mechanical Krakow,1
1981 factory crew,1
Financial aid Huta,1
-organizer Center 1999,1
basic clothing school,1
grade Department 2003,1
technical Family 2002,1
senior Szczecin Technology,1
Welding 1968,1
1998 Ostrów Wlkp,1
Remonto  Szczecin,1
thous SW fine,1
professional car Wejherowo,1
1990 center retirement,1
State Department Repair Gdańsk Oruna,1
Commission Professional Niesze,1
Committee;1984 1989 Underground Scriptures,1
2014 Party 2012,1
then Zielona Góra,1
independent countryside;Release ZR,1
2 months years,1
reception welders,1
2006,1
1988 Military Special SG,1
Polish board PZPR,1
1989 Niejwny Council,1
1981 Śląsko Dąbrowski ZR,1
1954 Silesian 1969,1
parish custodian Krzeszów,1
own  apartment,1
1988 film Siedlce,1
Katowice Kostuchno,1
part time Skawina,1
1985–1989 M. Ciaputa,1
1990 Małopolska Skawina,1
1990 Busts 2008,1
Alma Mater retirement,1
1990 Jagiellonia Sports Club,1
durationers;A restaurant 2006,1
New Ruda,1
poetic Polish Polonia TV,1
ABC ZR certificate,1
1986  walls,1
pastoral Solidarity Dzierżoniów,1
1 Polish Scenes Kalisz,1
annual exchange machines,1
Kalisz Anna Binder apartment,1
retirement Wielkopolska RegionSouthern retirement,1
ZR Polygraphy Bialystok,1
independent Stalowa Wola Huta,1
1991 Stalowa Wola,1
16 III EC Krypt,1
grade Voivodship Freedom,1
younger  Poland,1
later Stanisława KPN,1
1982 amnesty.1984 cooperativeness,1
1968 student Warsaw,1
X Information 1991,1
pastoral  Bialystok,1
SOS SOR KRPT.Politician,1
1981 Scha Region Busko,1
1989 Jerzy Krajowy,1
martial law act,1
official publishing Cracow,1
Polish sports bridge,1
political Stanisław prisoners,1
Mechanical Ursus,1
1980 Information Bulletin,1
national Mazovia councils,1
1984 Monday Theater,1
1988 Gdańsk Remontowa Shipyard,1
1994 Professional Nystezek,1
Student High Kętrzyn,1
military  reserve,1
high  Strzelin,1
repressed  help,1
new Ruda Vacation School,1
16 V EC,1
doctors,1
POLO knitting Kalisz,1
1986 III Kalisz,1
WUSW EC KRPT.Deputy,1
Eastern anarchist Krakow,1
21 IX fine,1
1994 Polish Nautological Society,1
Polish Lubania,1
1981 Lubański Sub Region,1
1987,1
international Johns Hopkins Washington,1
2013 Military Technical Warsaw,1
professional Volunteer Labor Head,1
3 Gdańsk Shipyard,1
1985  emigration,1
independent Zbrosza Duży,1
Herman Dąbrowski Rural Solidarity 1988,1
1971 Electronics PG,1
4th High School,1
graphic Specialist Gdańsk,1
self -education meetings,1
1980 XII 1980Incial Commission,1
organized  printers,1
calledProphylactic Wąbrzechski Solidarności.28 conversations,1
1998 commune head retirement,1
1960/70.Repeatedly PKS Kalisz,1
there Koza company retirement,1
independent Free Trade SG,1
2007 Gakadada Rzeszów,1
opposition 2018,1
own radio Warsaw,1
leaflet transport workshop,1
State Employees,1
1995 Otwęt tannery shore,1
Solidarity Trade Tamż,1
Mostar Holy Brzeg,1
Czerwony Bor,1
own Uniprofil business,1
Medical University Medical Economics,1
Polish scout organization,1
Trade Unions Trade Konin,1
1970 Library Olsztyn,1
Water Małgorzata Kalisz,1
1996 Radio Poznań,1
1970s,1
IV,1
perpetrators,1
high Regina Gdańsk,1
National lieutenant,1
1946 Gdańsk Technology,1
electronic repair craft plant,1
theological College Krakow,1
then Radom November,1
accident,1
theoretical Euromech Mechanics,1
internal Pomeranian Medical diseases,1
Dominican editor Krakow,1
Adam Poznań,1
trade unions Incident 1995,1
1989 Murarz Project,1
SOR KE KRPT.Internist,1
1978–1981 Scientific Courses,1
Social Political Warsaw,1
people.1987 1995 people.1987 Dzierżoniów,1
2008 Uzdrowiska Zdrój,1
70 Higher Wrocław,1
1989 Jastrzębie Zdrój,1
1983 wire USA,1
evening system,1
work;1985 Christian KPN,1
1980 industry trade unions,1
1981 Bydgoszcz region,1
publications Henryk Dłady,1
SOR KRPT.Group SOR Company,1
IX 1953 ZSRS).A Warsaw,1
trapped Mirosław voice,1
sociological Social society,1
political  underground,1
Kolporter Andrzej Szczepański,1
1985 District Gdańsk,1
1994 Physics Warsaw,1
high Cosmetic Poznań,1
Olsztyn EC Krypt,1
8th Rzeszow Ustrzycki agreements,1
steady photo press,1
1989 construction enterprise Wrocław,1
ZR . Bureau;IX,1
statutory Commission congress,1
1987 Ogrodnięczne Beekeeping Tomaszów,1
S Senator Wiesław Komarów,1
high South Suwałki,1
Ośr co .,1
2010 Warsaw Technology,1
2000 Enterprise Water retirement,1
KW crypt,1
image operator,1
1982 press).8 V Białołęka,1
ecological Ecological Club Piła,1
VIDERE.1993 1994 film school,1
InstalProjekt repair cooperative,1
1948 Poznan machines,1
90 Saints Apostles Legnica,1
3 class High Bolesławiec,1
aggregusIn Bolesławiec mineral mineral mines,1
III Silesia Branch Presidium,1
retirement Góra.2001 2004,1
