source,target,edge
fragile XII 1984 II,underground  writing,preparing
1991 Tygodnik 1995,editorial Tygodnik Gdański,1989
member,Catholic Bielsko shares,In
1980 PZOZ who,1981 Health Service Gdańsk,Lenin
other  He,together A. Gielewska,interrogated several
underground co -organizer,Committee Unitra Lubartów,-initiator of
1986,Sor Krypt,Chomeini
1982 zm.18 He,mechanical  Szczecin,graduated from mechanical
1  we,guilty contracting KPN,From
1982  participant,repeatedly III searches,Harassed at
IX 1982 Free Radio Europe,broadcast,became
1981  1982,EC Bratek,Developed by
13 III 1983,manifestation  Kalisz,stopped during
where  he,foreign enterprise emigration,From
1976  Internship,1977 Polish State Białogard,Tracks Polish
Senior train traffic Organizer,1986 Jasna Góra,Popiełuszko
2000 Polish State 2008They,Szczecin,Surgi in
1956 bornborn.23 He,economic Warmian Olsztyn,graduated from
hardware LGO Logistics bases,ordinary Reddykajny Housing Olsztyn,member of
1988  1989,EC Krypt,Lucek
underground family 1983,45 Polish Scenes 1990,No
2002 Senior Visitor,2004 ZSO;In Board,dismissed from
1983 Social Initiatives he,Lisów,maintained from
1994  Employee,independent b. Lublin,From
KOR trade unions,independent Scientific publications,"Solidarity"".involved in"
2006 Corporate Card Foundation,1956 Publishing Series,Tales of common
she,Poland,refused
Rafał Grupiński,1952 Adam Poznań,Mickiewicz in
Solidarity publishing teacher,also Plastic casual,employed
underground Jerzy he,others,Ps
1990  Editor,2011 Civic Rzeczpospolita President,Polska from
martial SW courtyard,Polish Izoldda literature,fall
13  XII,abroad West emigration,was in
14 ZPS XII,underground work plants,Books of
member,president Wałbrzych Region Foundation,From
26  He,Mechanical Piła,graduated from
then F. case,1981 ZR Bulletin,paused
Solidarity Peripheral Election member,1993 Poliksen Poland sc,Enterprise
5  VII,workstation.1982 1989 DLP activist,released
29 III 1983,Surrounding Sor Krypt,register
Danuta Grzelak,1952 Gdańsk Technology,graduate of
KOR COMMITTEE COMMITTEE COMMUNITY,1979 Ideal RMP declaration,made
1981  she,children,devoted to
16  1989,Mo SOS KRPT.Surveyor,Developed by
1953 on28 graduate,Catholic Lublin,doctorate at
16  1989,KW Mo SOS KRPT.Surveyor,Developed by
Janusz Łukasz Grzelak,1941  Warsaw,graduate of
trade unions trade L.,many Western Universities,In
several Marek participant,S Anna apartment,Jesuits in
Committee ZPJ he,2010 St. Kalisz,From
1953 born24 He,high  Warsaw,graduated from
15 Kielce XII,amnesty.1986 cleaning Warsaw,EJ
2013 Ursus Sports Club,2001  Warsaw,reactivated in
He,winner Polcul Foundation Award,awarded
20  XII,KS Mo SOR KRPT.Twins,Susw as
VII,Mo EC Krypt,Tube
15  III,WatchV SOR crypt,Resistance
underground  he,1987  fine,handed
Solidarity trade chairman,2004 Domestic Cash,Plenipotentiary of
1976  Participant,industrial equipment Gdańsk,From
District Court,amnesty,discontinued
Maria Grzymisławska,1952 General High School,born13
underground Julian Zydorka,underground Poznań SW,made
Maciej Grzywaczski,political  reasons,born17
packaging strike board,organizer trade Map,wrote on
documentary TV one,2008 vice president,In
III 13 III December,2 SOR crypt,Secretary
1985 Warsaw Vegetable,historical Gdańsk Academic Association,outHumanities
Together Branch Association he,Polish Organizing camps,works for Polish
1980).3 Dolnośląskie XII,underground ZR Lower operations,accepted
pastoral  officers,1984 Władysław Frasyniuk,set
European Young Congress,1997 Millennium Wrocław,participated
White Cross,Medal Culture Gloria Artis,Decorated with
1958  1959,KW MO IV KW crypt,Bastion
independent Committee Civic Committee,Solidarity COMMITTEE COMMITTEE 1979,COMMITTEARS
author,Szczecin;Repeatedly Radio Free revisions,subjected to
inspector,2002 District Court,bench in
He,Polonia Restituta,awarded
she,St. Maksymilian Krakow Mistrzejowice,participant in
1956 Jerzy He,IV High them,Mickiewicza
album Isolation,cooperative Student logo,prepared
when  we,radio,discontinued
7 Dycharotewo K. VII,1981 Dycharotewo K. Gniezno,released
15  IV,1983 crypt sauce,Nikifor
several Radio Independent times,underground Bielsko Hutniki,editor of
participant,trade 1992,business
1967  editor,party;1973 1980 Polish Electrician Association,specialist in
same Z he,online Scientific Warsaw,Chairman of
1989 Lech 1991,then Europa Polonia Warsaw,President
AZS,golden Catholic Film Niepokalanów,honored with
2012 d.19 He,vocational WSK Krosno,graduated from
1984  7,illegal 30 publications,detained
1984–2012,Pensioners 'S,S
scientific TZR member,Commission  IMW,In
1982  1984,MO crypt sauce,Electronics
1992 Stalowa She,high Stalowa Wola,graduated from
S HSW who,3 Food Packets,helped in
9 months VI,provincial  Kalisz,For
1935 born14 he,initially Gdańsk Technology,graduate of
Solidarity trade they,48 Robotnik searches,editor of
1981 L. he,ZR,left
where Great they,when  system,went with
1999 Anna he,2007 IPN college,member of
1978,Mo crypt sauce,Crocus
Adam Wielkie k. He,high Jelenia Góra,graduated from high
Zakładowa Tygodnik Mazowsze,Christian St. thought,interned in
1989  2002,2001 Provincial Katowice,From
"independent Workman"".1980 he",unrealized Government postulates,Commission in
Nowy he,councilor,gave
first Lech That,political election magazines,means
IIIA,IIIA EC Krypt,Councilor
there d.28 graduate,protective Radiological Protection Warsaw,completed
Trwamamy Information XII,Polish Radom village,supported
1986 atomic power he,Italian trade Viterbo,Quarterly
8th Ustrzycki Rzeszów member,housing Provincial Specialist Hospital,working in
29  VII,1989 SOR KRPT.Committee,Developed by
professional trade unions,Stanisław Pyjas.1978 Stanisław HSW,participant in
"professional trade S"";1990",2004 Alek production plant,worker of
11th trade participant,1981 lubelskie strike,co
Independent Vir,10 trade apartment,stopped
half  time,martial state Lublin,member of
Ireneusz Jerzy Haczewski,University Electrical Lubelska,born23
medium -wing radio he,1978 Centrum Tamże,discontinued
National Radio Free Daily,10  apartment,retained
Marian Hady,1950 Rzeszów Aviation,graduate of
29  XII,S health region,Kolporter in
Sławomir Paweł He,School Aspirant Krakow,graduated from
Sucha he,crossing crosses,organized
he,two  letters,released
1989  Member,currently Operational Dictionary Distribution,From
1 Centrum ship technology,central ship construction,In
organizer,Social Works Committee,Committee on
"underground  time"";Participant",radio police Gdańsk,spikes
Independent Government Trade Union,Initiatives publishing FIS,letter of young
Romuald He,Technical School Tamz,graduated from
1980  Participant,independent government day,day to
1982 magazine Member,1986 Main BoardRudna,Isolation in
Aleksander Hall,2004 Polish Sciences,graduate of
Leszek Moczulski,1980 opposition activists,V
Solidarity trade P,1981 Advisor Lech Wałęsa,"S"";27"
secret  member,main Social Primate opposition,signatory
1950 Jan He,Railway Technical Bydgoszcz,graduated from
1964 Worker Polskie,1988 Nafty Gdańsk,railways
organizer,1981 River Gdańsk Region,In
organizer,1989 Department Gdańsk,unions
2002 Dignity Retired,protect information protection,Administrative
2016 III He,fundamental construction Elbląg,graduated from
organizer Civic Committee,organizer Co Zntk,Scripture of
1996 zm.5 graduate,Higher IV,ordination
1986  Administrator,honorary Łomżyńska Cathedral Holiness,parish
strong Łomżyńska Chapter;dean;From,strong Łomżyńska Cathedral,retired
it,Diocesan Ełckie Kuria,established on
Charity Social organizer,serial SB equipment,Physics of
TZR TZR judgment,Leszczyńska monuments editor,Employee of
1991 Deputies Civic Committee,Stalinist Political period,member of
2007 General Władysław You,Jerzy Wielkopolska,Reminiscences of
26  1982,IX 1989 crypt sauce,Historian
1942 born11 He,medical care Wrocław,graduated from post
-,1984 Youth Friday Kępno,Marcin in
provisional Organizational We,ChairmanProfessional nieces,From
Stanisław He,high  Kraków,graduated from high
then Working Committee,ideological Freedom Justice Independence,broadcast
Huting Section Huting i,2010 Culture Education,Councilor of
Józef Zbigniew Harasim,automotive  plants,learning
political Food Collection he,illegal Cathedral Lublin,sentenced by
Marek Harasiuk,1960  Warsaw,graduate of
1983,Underground SW Horizon,member
1988  2000,2001 consulting lawyer,From
1952 Siemianowice He,mining Katowice,graduated from
1981 Committee Civic Committee,independent information publications,carried
1981  stopped,Committee Siemianowice Śl,Released after
He,Polonia Restituta,awarded
independent IX he,independent  Kalisz,delivered independent
sworn Lucyna he,1986 Public Kalisz,In
1989,1998 Professional Nevils,From
12  V,3 Military Garrison Łęczyca,released
organizer,educational Scientific system,Republic
1981 Functional Analysis member,student Radom Warsaw,supported
6 released.1982 1989,Warsaw.1986 1989 Lower Silesia,signatory of
then  he,then Warsaw amnesty,arrested in
13  XII,1981 Warsaw Białołęka,interned in
Chief Commander,Shooting brigade,promoted to
then  Rakowiecka,1984  amnesty,released
there Lektor DYR,Solidarity Scientific Courses,Committee with
1980 Vice - President,then Working Ling,From
15  XII,1985 AŚ Warszawa Mokotów,detained without
He,Silver Polonia 1957,awarded
Barbara Hejcz,1982 born16 2001,graduate in
R Free includingShe,independent self education circles,made
20  IV,48 Gdański fine,Scripture of
1957 Stock Repair one,departmental company committee,led out
1 Order VII,"20,000.Rally trade union press",spoke to
patriotic Holy He,patriotic Holy Piła,interrogated many
Stanisław Helski,2 law Wrocław,graduate of
Wrocław Fabryczna Wrocław farmer,Śl.1978 Sheep KPN,From
1981 i Organizer,independent trade letter,author
1986 Polish Republic,Trade Unions Sheep Wałbrzych,Committee at
ruined  effects,administrative  day,have
Ryszard Gołda Ryszard cycle,vacuum cleaner Góra Puławy,gave with
Marek Henryk,1988 Medical Gdansk,graduate of
VIII member,S First Commission Map,Delegate on
1951  Member,1972 Main Board,Letter;From
underground literary work,underground publications.1986 France,printed in underground
Author,2000 Burza ants,Labyrinth at
59 Poland author,anonymously Basil Write,In
1933 born23 He,Polish Lisków,graduated from
underground Kolportage Lisków,1988 Aid pension,Farmer in
III 1961 III He,basic construction Słupsk,graduated from
Krzyk Independent Information Bulletin.4,sentenced sentence byNaval Gdynia,detained
Łucja she,1989 POIW Region Wielkopolska,Commission of
collaborator Committee,Solidarność Nszowień retirement,From
13  XII,1989 FW Ponar,Chairman of
1972  1973,1983 p. V KRPT.Derived,Mo in
1988 strike participant,1991 ATA MOROWKOW,At
WatchIII TW materials,Mariusz relationship,was
20  IV,1982 crypt sauce,Caton
2014 d.16 He,high  Morag,graduated from
1985 Co -,SW Tamb,worker of
1981 A. that,extraordinary  surgery,warned
3 Supreme Court,extraordinary Supreme allegations,refused
worker,2000 UOP retirement,gave
1981,Scientific Criminal WatchRights,stopped during
Bulletin Information Bulletin,University ofMaria Curie Skłodowska,In
there  Co,Reference Working them,Skłodowska
Road UD head,criminal law law,member of
1945  he,1970 occupation strike,co
Medal Pro Memoria,Poland Rebirth,Decorated with
XXVI street it,3 lectures.15 university,Digration on white
Second General Ministry,following Wochotnicza Fire ul,Barska
1987 42 PLN,S  structures,participant in
1974  1991,Fire Scouting Association,Institute of
4  VI,1996 Information Services Agency,supported
2014 on29 III He,Stage Artists Szczecin,graduated from
1984 voivodship procedure,amnesty,discontinued under
then subchorden school course,Lida;1938 1939 Higher 1950,ordination
signatures,1975 4.6 builder,Families);From
1981  he,first WSK PZL VII,involved in
first WSK months,ecclesiastical Primate Józef West,From
Basic  education,Belarusian SRS,won in
Solidarity Solidarity Solidarity,5 Jelenia Góra,In
13  XII,1986 Kamienna pension,1998 on
20  January,1984 EC crypt,Wiesiek
Igor Hryvnia,1961 Pedagogical School Tami,graduate of
member,"Olsztyn ""Gazeta Olsztyn",member of
1958 Wiesław He,electric  Poznań,graduated from
working  DLP,MR representatives MR S,In
temporary  member,1991 Wielkopolska pension,From
he,1965 provinceParty court,runs
1981 protest action fields,gross protest action,organizer of
1983 food 1989,Edward Lipcem,cooperated
Teresa Maria Hulboj,2019 Higher Pedagogical Szczecin,graduate of
1983 health she,magazine Marek Adamkiewicz,In
owner,logopedic  logopedia,Author
Andrzej Huniewicz,leaveHumanistic Polish Philology,graduate of
then Working Committee,Delegate Lower Map,delegate on
underground independent university Kolporter,Lower manifestation,conducted
founder,2005 PO list,In
1978,FacultyIII SOR KRPT.Physicist,worked
1982 coordination committee founder,Underground Independent Student PWR,Association for
1984/1985  co,1988 Vice Project,December
1990 Altair Air member,industrial Polish Aviation lobby,Kwiatkowski
1994 Employee Plan Paid,Parking employee Irena Broda Zakopane,Unguarded in
1989 trade union Organizer,S initiative Polmo,member of
Employee Filia Pleszewokka,horticultural  company,led
K. Ostrów He,Ostrów Wlkp,graduated from
1980 Szczecin Adolf,then Incident Committee,Warski;From
1988 Szczecin which,Committee Trade S,Klonowica
Tadeusz Reytana 1981);1981,Warsaw,Tamż
directorPress Trade Union offices,then SWS KPN,From
Academic Stanisław Kostka,1985 Ostrów Wlkp,Stanisława in
communist III authorities,official  Poznań,filed for
2006 d.15 graduate,Philology 1985,PhD.
unknown radio investigation,unknown radio perpetrators,discontinued
1983  December,KW MO SOR KRPT.Mimosa,worked
Now Committee Civic Committee,pastoral Stalowa Wola,led
Where Lviv you,there St. retirement,From
1940 K. He,technical car Krakow,graduated from
He,Polonia Freedom,awarded
1957  He,16th High Warsaw,graduated from
1983 KS Mo,crypt sauce,Printer
then Factory Committee,S District Railway Directorate,seconded
1981  Isolation,1989 Music Gdynia,worker of
1999 District Employee,Oil Sp.from 2009,retired
Zbigniew Iwanów,University leaveIndustry economics,born1
1971  Magazine,then Ship Device PZPR,Stażysta
29  V,President ZR Defense conviction,member of
1981  Isolation,3rd  XII,released 3rd
1949 Stanisław Antoni graduate,Wrocław 1983,doctorate in
1993  Assistant,pastoral care participant,adjunct in
Andrzej Stanisław He,vocational  Szczytno,graduated from
1982 Provincial judgment,physical forest districts,worker in
1984 KW He,construction Masurian Kamionek,interrogated many
then election owner,production enterprise BudoPrzy,employed
1999 d.10 He,Railway Technical Lublin,graduated from
Railway he,party,wrote out
1980 PZPR he,1st Central Eastern ZR,participant in
9 presumption XII,underground blood meetings,activities of
Awarded,posthumously Rzeczpospolita Polska,badge
16  VI,1989 SOR KRPT.Continuous,Rusw in
domestic  service,grade  shooter,ended to
KOR Committee Civic Committee,1979 Independent Małopolska,Opinion
industrial Investment he,1989 Feed Industry Krakow.1989,Participant of
Author,Polish  relations,From
1949 Stefan He,1st High Gdynia,graduated from
degree VII IX,1980 Management Gdynia,clerk in
1980 August agreements;After he,1981 craft Gdynia,Employee of
2008 Catholic authorities,1992  prof,refused
1980 trade she,1981 Radom Village,mediated in
scientific Intelligence Club.1981 she,abroad coordination Brussels,struggled
II education she,Scientific Society Lublin,Member of
1982  VI,Mo EC Krypt,Inspirator
independent publishing he,editorial  office,made
Production  enterprise,1999  2002,retired
Average  education,1945  Nysa,technician
sentencing garrison sentences,same garrison case,Signed
9 TW XI,TW USA,solved
1953 Jerzy He,1 school Gdańsk,graduated from
1980 strike participant,1981 ZR Gdańsk,seconded
organizer,3 months Gdańsk,employee at
1957  He,Rud Lubin,completed
1984 S.W. Sakwy,general Jakub Legnica,1988
KW MO p. V Rusw,1988 EC Krypt,Electrician
1944 on25 He,Technical Gdańsk,graduated from
1978  co,independent Trade country,means
13  XI,1982 Vice - milling,Isolation in
1989–1998 Polish Katyn Manager,2000–2001 Mazowsze ZR,member of
Author,literature,encyclopedia in
biblical Saint Reflections,2010  neighbor,understanding
Grzegorz Cezary Jaczyński,leaveMechanical Military Technical Cybernetics,graduate of
independent Lodz association,students,goes new
1982 Solidarity resistance responsible,"Editor Kurier Mazowsza"".1988 FSO",organizing
small k. He,Czechowice Dziedzice,graduated from
1998 WEOG WEED,WEOK BLIE BIAŁA,WEEKS IN
1932 born11 He,electric  Gdańsk,graduated from
1976  participant,1980 Kolporter Independent Workman,In
organizer,Bureau Committee,In
1993 Mercedes plant he,Solidarity cradle,member of
1949 Jacek He,high Richland Community Dallas,Kasprowicz in
"independent trade Placówka"");A",48  apartment,was present
1984 Independence Organization English,open Provincial Chorzów,farmer in
1980  1984,V-1 EC KRYPT.Contacts,RUSW in
9  he,1979 Maritime Gdynia,employed as
13  XII,1981  VII,interned in
office  he,Belgium,remained in
1937 Marian Eugeniusz He,technical Julius Lublin,Augustus
Martal State member,Regional Patriotic Song Festival,Song
1959 Lubiąż k. He,1 Polish Scenes Bierutów,graduated from
1983 Municipal Economy 1987,underground Grzegorz Socha,printer of underground
choice,twentieth Felix Jakimowicz,eighties of
V 12 VI,pastoral Praga homeland,interned in
1979 Young participant,free Provincial Public holiday,Hieronim
1982 Kielce 1983,IX 1985 IX apartment,Search in
2007 RS he,Dublin City University,obtained
1944 Dub He,Polish Slawtyk,K.I.Gałczyńskiego in
23  VII,disciplinary Tarnobrzeg profession,By
1985  LektorPolish,Polish London Scoutmaster,order of
bornJuly Marek He,student Wrocław Technology,graduated from
III participant,KOR Nszowień Professional,forced
dozen Archbishop times,48  hours,stopped for
Tygodnik activist,Charity gifts,incl.provided
member,2010 Friends Pro retirement,lecturer on
1984 District Court,7th  1984,discontinued
Wrocław Lower he,1981 National Professional Niedzielek,-organizer
area).1982 1989 Bożena she,3 Wielki Wojździec,retired
He,Golden Niepłomni,awarded
1985 Andrzej he,1989 Przedsiębiorstwo Usług Komunalnych,employee of
1967  He,high  school,graduated from
27 arrest January,Maksymilian Kraków Mistrzejowice,Kolbe in
Białystok;Since Chairman RO;1993,2002 SLD UP.Since,retired
1985 Player;1988 1989,Sor Committee,As
1948 born22 He,chemical technical chemical Krakow,graduated from
housing Gdańsk Lenin,1981 Factory Delegate,followed by
23  XII,1986 ATA MORKOWSKI,X
Polish  Republic,1980 KBWE Madrid,addressed to
1953 Zbigniew Piotr He,railway technical school,graduated from
1986 Unicum Labor activist,Polish Hungarian Solidarity,In
1983 V KS Mo,SGO SOR KRPT.Rebus,Tractor;3
1944 born8 He,Chemical Technical School,Tamz
1984 warning it,part time Chemaru,was
Maksymilian Krakow founder,70 retreat baker,Co
1989,unemployed holiday families,Organizer of
Cross,Solidarity Region Małopolska,Meritorious for
Tadeusz Jancziszak,2000 Poland Philology,graduate of
1978  member,1980 Lądek Zdrój,gathered around
5 Tadeusz he,1985 Polish Independence Party,XII
1977,Mo SOR KRPT.Office,WSW in
founder  S,1981 Sandomierska;In Management,intimidated in
Wojciech Janek,2013 Catholic Economics,graduate of
protest includingHe,burning program materials,prevented
1981 Protest participant,parliamentary Western Pomerania June,Awarded
1944  Germany).He,vocational Gostyń Wlkp,1960
organizer,official Radom workers,In
24  VII,1984  amnesty,released under
13  XII,western trade unions,Isolation in
II He,professional  study,graduated from
Four  times,leaflets  printers,stopped
1981 designer prints,clenched Olivia microphone,logo
1982  Trip,owner Tajjer plastic studio,Return to
26 Torun XI,offset Torun Urzosy district,Internified in
Solidarity trade R,literary trade Record,made availableyour
2002 trade Chairwoman,2011 JournalistMelchiora Warsaw,Lecturer at
Author,1987 Zbigniew s,conversations
legal Social Conciliation adviser,1999 Development Warsaw,led
then December he,year  intention,For
Kapelane Gdańsk S,S John Paul II,Participant of
2009 ABP.Sławoj Leszek he,parish priest,resigned from
1991 d.16 He,technical  Poznań,graduated from mechanical
1969 Socialist VI,1981  party,removed from
1981 vice member,1981 KW MO,exhibition in
1982 IX he,underground publishing houses,made
1980  IV,KW MO Sor Krypt,Fisherman
independent Komuny Paris,1970 Katyn massacre,churches on
1983  SMW,amnesty,discontinued
13  XII,underground RMP environment,Kolporter of underground
1956 born3rd He,1979);A High School Gdańsk,graduated from
organizer,"1980 S"";Member Committee Committee",In
she,underground Marek Biernacki,Borusewicz
2007 IPN Protection member,Association,1989
1936 Ryszard Antoni He,Outdoor Economic Lublin,graduated from
24 protest XII,1984 Chełm;27 amnesty,From
1983,SOR crypt,Attempt
2010 zm.3 He,artistic Cieplice Śl.(1973,graduated from
1980 factory Chairman,governing Local Government,Office of
1982 Kielce he,1989 Workbook Lublin,member of
1981,KW Mo crypt sauce,Carpenter
VII 1964 VII He,high Pedagogical Technical Gdańsk,graduated from
therefore District Court,30  detention,convicted
Indian Low he,riding 5Maria instructor,conducted
time SOR Sor,9  iv,invigilated to
organizer,6 coal coal days,participant in
1981 IV KS Mo,IV SOR KRPT.Reformer,Mo under
Great K. authorities,Democratic Oławski Dekanat,initiated criminal
Jelczanic car which,then  years,On
laying Home who,civic  Oława,celebrated
Wiesław Janowski,1979 ManagementLeon banking,Mathematics
1981 IX member,Independent Review UMK Independent Minitor,collaborator of independent
1993 Local -,1996 government Bydgoszcz,In
1982  1989,Toruń P.VI Sor,Meteor
1934 born31 He,high Dental Wrocław,graduated from
1981 strike participant,2000 Dental retirement,From
6  IV,BoardV Head SOW Krypt,Technician
III 1955 Łaczka k. He,industrial Working Tam,graduated from
1973 Monter Driver,1976 gas Sopot,Delegated to
30 months XI,1983 State Gas Gdańsk,Head of
1984  Mechanic,Bristol.1991 Atlantic City,subassemblies in
Eastern,Creator member Society,Mazowsze
22  XII,KS MO SOR KRPT.Organizer,Ministry of
foreign press XI,political state signatories KBWE,author of
30  VIII,exempt August agreements,Map
Russia i,May  1980,West
2000 zm.28 He,mechanical  technician,graduated from
1951  Brigader,then production preparation outHull,Monter in
II,public SW 1987,retired
participant,1980 Polish Teachers Association,In
1981  participant,13 S Silesian XII,PŚ;In
founder,last Gliwice manifestation,for
2002 Gliwice radio key,currently Radio History,From
several  Destruction,1998 mining Gliwice,Gliwice on
1982  1989,Gliwice EC Krypt,Editor
1940 Andrzej Bartłomiej He,Technical Secondary Warsaw,graduated from
third trade participant,street VI,restored
1981  member,pastoral St. Warsaw,Isolation in
1981  VIII,1982  stem,Isolation in
Jan He,vocational  Giżycko,graduated from
1981 Extraordinary he,prevailing personnel disputes,gave
1982  1987,EC Krypt,Active
Marek Bogdan He,graduate Podlasie Siedlce,graduated from
1989 Club Jan Participant,round Mazowsze region,delegate to
when Ursus we,Jerzy Domżalski Ursus turn,Co
cultural  activist,Knight Poland,awarded
26  VI,1989 SOR KRPT.Circle,Susw as
Edward Jaroszewicz,IX 1948 Electronics Wroclaw Technology,graduate of
13  XII,1989 Staff workplace,From
1970 Provincial Court,black Stanisław Pyjas,participant in
Uninterrupted publishing Thoughts,"""  decree",stopped
1967,ThroughoutIII Sor Krypt,Fakir
1949 on18 He,Automotive Technical Gdańsk,graduated from
1970  Tokarz,Operator Mechanized Gdańsk Port Board,Mechanized in
1980 Founding Committee,1981 Portowiec Card,co
1982  Member,punishment.1984–1988 New York,sentenced by
1989 Taxi driver,Grade Northern Port,mechanized in
1939  He,mechanical technical school,graduated from mechanical
martial employee he,13  XII,decided
1983 St. 1985,1864 SB priest,Tarejwu
national  specialist,1994 Councilor Club Prawica,retires
Krzysztof Jasek,1958 Bielsko Biała,graduate of
organizer,1989 wage BŻ,In
25 Marek He,mechanical  technician,graduated from
1980 August Member,1981 Inspired Bureau Commission,Organizer of
monthly Tygodnik letter,S Andrzej HW,1989
1955 Stargard graduate,1979 Szczecin automation,PhD in
Jacek Kaczmarski,1988 occupation Szczecin,Participant of
1983,SOS KLASER,Developed by WatchIII
1988 VIII Participant,national Courier holidays,Before
author,EDDA,avoid
1982  1983,III crypt sauce,WiSW in
participant,1984 Home Zabrze,released
1981  Isolation,1988 Jastrzębie Zdrój,Manager of
martial Silesian Dąbrowski It,80 Śląsko Dąbrowski region,In
Oct,K Sor Krypt,Guardian
co -founder,1977  Głos,includingin
V,wholesale Underground collectage,stopped during
national East Olsztyn,20th Evangelical century,Olsztyn
Mirosław Jasiński,1960 Polish Philology,graduate of
1980 Independent Participant,1981 village Warsaw,Participant of
15 Artist Artist XI,suppressed Jarosław Brasov,demonstrated
He,Polonia Restituta,awarded
1939 d.17 Germans,Metropolitan Warsaw,Jastak
Supported opposition he,Arkadiusz Rybicki,activists
1980  he,Port Gdynia,Paris in
repeated  he,1984,retired
founder,grade Social December,Gdynia
Tomasz Jastrun,1950  Warsaw,graduate of
Pastoral  care,1990 RES Public,Charlemp
1981  a,lower  work,inviguated
she,also  husband,took
possible Developing She,Association Dignity,member of
28  1982,KW EC,Developed by
1956  Teacher,2004 Culture Theory,assistant)At
1980 Tadeusz who,stripzing  shipyards,participant in
26 Warsaw VI,1989 Social Warsaw,From
honorary  badge,Polish  Poland,deserved for Polish
Adam Jawor,graduate National Defense Warsaw,graduate of
48 Stone Student,secretive Underground Katowice Guide,COMMUNITIES
1986,SOR KRPT.Understudy,WSUW in
monthly CDN letter,universal Radio Co encyclopedia,Solidarity
1995 Stalowa He,vocational Stalowa Wola,graduated from
1985–1986 Temporary IV,1985–1986 Temporary HSW,interrogated
Dariusz Jaworski,2020 Nicolaus Toruń,graduate of
Youth conspiratorial Kolporter 31,1987 construction combination,clerk in
1980  member,first National Committee,Committee
22 Świętokrzyskie VII,Trade Unions trade 1988,Council
Committee Civic Committee,Union St. Brother Kielce,established
IX 2 IX XII,1982 crypt crypt,Ark.
1931 Seweryn He,High School Tami,graduated from
1952 Pop Secretary,party,From
Mazowsze money,13  XII,served
1987 Sejm founder,trade unions trade 1981,In
thanks Chełmno Marian case,exit Krajowy 1986,took
electoral  she,2000 Social PO,provided
distinguished  badge,deserved Poland Rebirth,awarded
1991 Scientific lecturer,1981 KDIP reports,Experience
appointment,martial General Wojciech law,author of
political Warsaw Author,underground  magazines,Krytyka
scientific IH Poland Semitism,Open Rzeczpospolita,member of many
1993  Świat,modernity critics,Fears
1988  he,Szczecin,provided
Second strike participant,activists Ustroń Polanie,In
participant,registered Polish Paralympic East,representative of
1955 Zielona He,educational Międzywojewór Dydaktic Poznań,graduated from
independent publishing KW,prophylactic  survey,had
1981  author,martial  law,stated in
III,1981 SOS KRPT.Epik,Developed under
28,underground Lord Lodz,member of
1981  VII,1983 Sor Krypt,Fun
1959 Krzysztof He,Second High Gdańsk,graduated from
24 Bogdan IV,1983 District amnesty,detained
1984 emission Cooperation,80 film home,Organizer of
Day Solidarity Wola,higher Bartłomiej clergy,Tamż
1984  XII,1989 crypt sauce,bottle
Weronika Maria Jezior,1957 Maria Curie Lublin,graduate of
Lublin which,1986 crypt campaign,Birch
participant,2000 Radom Technology,In
academic University cancellation,technical  adjunct,transferred from
2005 Stefan Chairman,Commission  UKSW,From
1934 born2 He,high  Gdynia,graduated from
1986 Stocznia Gdynia,1970 street Gdynia,Commune in
printing  17,1993 El Gaz Gdynia,supplier
Civic Committee,Solidarity trade 1993,retired
He,Freedom,awarded
1981 Głos Szczeciński,commercial Szczecin Polish seaside,From below
1992 Center organizer,2008 Supervisory Board,Founder
he,WatchIII  crypt,destroyed by WatchIII
1955  He,secondary refrigeration equipment,completed
founder,1981 Mkdomisja Zakładowa Kalisz,followed by
1985  1990,Black Forest,Run
he,local Polish Budget,councilor of
Dariusz Marcin Jędraszak,managerial Poznan 1997,graduate of
independent Uakademia they,independent student association,interrogated in
Club Independent ',Club Independent Students,From
1989 Skomite Civic Committee,Professional Nystezek,s.
1980 Predom Chairman,1981 trade unions,seconded to
few Predom he,lower  position,returned to
own Second business.2003,2007 Catholic Lublin,business
1982  1989,EC Krypt,Indian
Tomasz Jędrzejczak,1944 Basic Vocational Konin,graduated from
1989 Pump Conservator,pastoral St. Klemens Wroclaw,Solidarity
Urszula Irena Jędrzejczyk,1930 Economic Warsaw,graduate of
"including""Wola Wargin Kolporterka",- initiator Banner Working Committee,co
2005 zm.15 He,vocational  Płock,graduated from
29 PZPR VI,1976  work,Gierek.25
2001 d.2 USA.He,student Jagiellonian University,graduated from high
1981 National Chairman,independent Radom Information press,put
13  XII,thanks PAX membership identity,interned in
1982  1983,leaveIV KW EC,Developed by
III 1941 III He,High Warsaw,graduated from
1987 Tadeusz Pyrtaka,patriotic Marian Lublin,With
1983,1987 SOR KRPT.Paver,As
revolution,1990 editorial weekly,Center
9 Pilskie VII,1981 Pilskie Wronki,released
1988  Manager,1990 Interlok Sp.z.o.o,saw
31  VIII,Legnica Legnica.1980 S,celebrated
working  DLP,religious Jasna Góra,guide to
former bastard canon,pensioner parish,resident from
13  XII,medical self help activities,Chairman of
Committee Medical Academy.1993 He,Szczebrzeszyn,Voivodeship
1982  1989,MO EC KRPT.Surgeon,Developed by
2019 d.15 He,technical  school,graduated from
22  XII,commission.1983 Universal Trade Szczecin,arrested
6  XII,So K Krypt,Koreks
