source,target,edge
Janusz Iskra,1957  Moscow,born20
1983 KS Mo,crypt sauce,as
then Factory Committee,S District Railway Directorate,seconded
Zbigniew Iwanów,1948  K,born1
1993  Assistant,technical Zielona Góra,adjunct in
1982 Provincial judgment,1 Dąbrowa Górnicza,arrested for
Locomotive State Railways He,Radio Free Europe,gave
12/13  XII,1981  axle,interned in
Awarded,posthumously Rzeczpospolita Polska,badge
16  VI,1989 SOR KRPT,Rusw in
domestic  service,grade  shooter,ended to
Author,historical  studies,depth
degree VII IX,1980 Management Gdynia,clerk in
1980 August agreements;After he,trade union,member of
1981  Participant,Lublin;Then John Paul II,organizer for
1982  VI,Mo EC Krypt,Developed by
Henryk Tadeusz Jabłoński,1945  Nysa,born15
13  XII,activity XII Głuchołazy,interned in
1980 strike participant,1981 ZR Gdańsk,seconded
organizer,1981 KS;21 R,Strike in
Marian Jabłoński,1957  Wroclaw,born15
1978  co,independent Trade country,means
13  XI,1981  Bureau,resigned from
Author,literature,encyclopedia in
Grzegorz Cezary Jaczyński,1955  Warsaw,born22
organizer,Bureau Committee,In
13  XII,Underground audio Poland,stayed in
1980  1984,outz,Developed by
13  XII,1981  VII,interned in
choice,Dark Times,published in
Participant  KS,1981 loyalty declaration,member;15
1978  1980,national Trade Sejm,Republic
participant,1982 KM axle,interned
V,axle,interned in
III participant,military occupation service,forced
1981 strike participant,then  1983,is
Wrocław Lower he,independent Tygodnik public,brought
1989 Kolporter Underground writings,day  day,fighting
He,Golden Niepłomni,awarded
1981 ZR he,ZMD Science,sent
Marek Jakubowski,1967  Krakow,born20
23  XII,1982 IV 1983;15 work,arrested
S  he,disclosure,stopped
13  XII,29 Kielce IV,interned in
1989,parish radio program,parish
Cross,Solidarity Region Małopolska,Meritorious for
Tadeusz Jancziszak,IX K,babes
1978  member,opposition Romuald PAX,gathered around
1977,SOR KRPT,Developed under
founder  S,1981 Sandomierska;In Management,intimidated in
Wojciech Janek,1964  Nałęczów,born7
1981 Protest participant,work,break at
Kazimierz Janicki,1944  Gumtow,born27
13  XII,1981  axle,interned
Jerzy Wojciech Janiszek,II Ryki,born12
1982  Trip,manifestations trade defense,trapped
Author,1987 Zbigniew s,conversations
17  VIII,first Gdańsk Shipyard,celebrated
1980  he,coast,collected
12  1981,1981  emigration,went to
1980  IV,1981 crypt sauce,Developed by
13  XII,23 III 1982,interned in
organizer,"1980 S"";Member Committee Committee",KS
1983,Sor Krypt,Developed by
Ryszard Stanisław Jankowski,1955 Jakubowice Lublin,born13
30 Bursaki PHOMISSIA VIII,1980 SG factory,Topped to
12/13  XII,1981 ZR headquarters,managed
1981,KW Mo crypt sauce,Developed by WatchV
founder,RSA kolporter anarchists,In
he,round table,refused
18 Warsaw XI,1981 Warsaw Białołęka,interned in
he,Holy Mass,organized
laying Home who,civic  Oława,celebrated
Wiesław Janowski,1956  Przasnysz,born27
1981 IX member,Trade Unions Trade Toruń,-founder of
1982  1989,Toruń WYDZIII P,Developed by
6  IV,BoardV Head SOW Krypt,Developed by
1973 Monter Driver,1976 gas Sopot,Delegated to
1984  Mechanic,1991 Bristol Bristol,subassemblies in
29  IV,axle,interned in
22  XII,1978 WatchII Depth,Developed by
1945 A member,15 Strzelce 31,arrested
30  VIII,exempt August agreements,gave
1951  Brigader,then production preparation outHull,Monter in
II,editorial organizer meetings,made
1983,Wydz,Developed by
1981  participant,13 S Silesian XII,PŚ;In
founder,Radio Underground S,print
1982  1989,Polish  Gliwice,Developed by
1981  member,other Mrada demonstration,Facility;Kolporter independent
1981  VIII,1982  axle,Integrated in
1971 service station,PRODUCTIONAL PRODUCTIONAL SZEGLUGA MAZURSKA,ON
1981  Internified,Complementary Suwałki,released
1982  1987,Suwałki DepartmentV KW P,MO in
monthly Tygodnik letter,KOR Trade unions,subtitle
cultural  activist,Knight Poland,awarded
26  VI,1987 SOR KRPT,Susw as
Edward Jaroszewicz,IX 1948 IX Barycz,born1
13  XII,1981  IV,interned in
communist Polish National leaflets,Krakow,printing
1967,WatchIII crypt sauce,Developed by WatchIII
1970  Tokarz,industrial enterprise Gdańsk,Mechanized in
1989 Taxi driver,maritime shopping port,mechanized in
Jerzy Jarzyński,1939  Sierpc,born26
1980  Chairman,Committee Harmia S,From
Krzysztof Jasek,1958  Żywiec,born13
VIII,1980 August agreements,seconded to
17 KS XII,KS Mo,stopped
1983,SOS KLASER,Developed by WatchIII
author,EDDA,avoid
1982  1983,MO SOR crypt,Developed by
1980 Zos then,1980 Zos Zabrze,Committee
19  XII,1981  axle,interned in
Oct,Zabrze  Wydz,Developed by
co -founder,1977  Głos,includingin
V,wholesale Underground collectage,stopped during
Mirosław Jasiński,1960  Bolesławiec,born12
He,Polonia Restituta,awarded
1980  he,field shipyard,celebrated
repeated  he,Ośr,provided
Tomasz Jastrun,1950  Warsaw,born15
23 Warsaw XII,1982 Warsaw Białołęka,released
1981  a,lower  work,inviguated
also John Krzysztof who,listening SB employees,cooperated with
28  1982,KW EC,Developed by
1956  Teacher,2004 Culture Theory,assistant)At
KOR COMMITTEE COMMITTEE COMMITTEE,Solidarity Democratic Traffic,collected
honorary  badge,Polish  Poland,deserved for Polish
Adam Jawor,1962 Nowy Sącz,born21
1981 strike participant,1981 Baildon axle,interned in
1986,SOR KRPT,WSUW in
14  XII,1981  work,detained
Huta Stalowa 1983–1987,young holiday people,collaborator
Dariusz Jaworski,1963  Włocławek,on8
1980  member,Committee hour S,From
thanks  he,monastery,hiding in
Committee Civic Committee,next We d ZR,established
IX 2 IX XII,1980 crypt sauce,Developed under
"1981 trade Solidarity"";EC",higher volunteer Fire Warsaw,supported
23 Warsaw XII,1984 AŚ Warszawa eleven,interned in
electoral  she,Radio Ryszard Toruń,provided
distinguished  badge,deserved Poland Rebirth,awarded
20  VIII,supporting strike shipyards,postulates of
13  XII,1981 Warsaw July,interned in
mainly  Poles,mainly  civilization,Author of many
13  XII,main railway incredor,stopped at
1980 vice -chairman,then  secretariat,head of
1981  author,martial  law,stated in
III,1981 SOS KRPT,Developed under
28,axle,engaged in
1981  VII,1983 Sor Krypt,may in
13  XII,1981  axle,interned
1984  XII,1989  WatchIII-1,Developed by
Weronika Maria Jezior,1957 on1 Wrocław,born
academic University cancellation,technical  adjunct,transferred from
Then shipyard he,underground  repressed,collected
He,Freedom,awarded
1981 Głos Szczeciński,Wiadomości Szczecińskie,transformed into
he,WatchIII  crypt,destroyed by WatchIII
Włodzimierz Jędrasik,1955  Kępno,born27
founder,1981 Mkdomisja Zakładowa Kalisz,followed by
1981  he,MKP Fr,took
he,orchard Konstantynów Łódzki,conducting
Dariusz Marcin Jędraszak,2  Poznań,born
1984  activist,Print Chairman Professional Needle,leaflets
14  XII,activists Opole Lubelskie Branch,detained
1982  1989,EC Krypt,Developed by
Urszula Irena Jędrzejczyk,1930 Dąbrowa Górnicza,born13
founding information he,instructions,passed
13  XII,thanks PAX membership identity,interned in
1982  1983,leaveIV KW EC,Developed by
1983,Sor Krypt,Developed by
31  VIII,1980  Legnica,celebrated
XII,internal  families,gave
IV VI,Trade Unions Trade Legnica,supported by
13  XII,then  Lublin,interned in
1982  1989,MO EC KRPT,Developed by
Julian Piotr Jóźwiakowski,1949  Szczecin,born27
10 III 1982,interned 13 beat,arrested
6  XII,So K Krypt,wusw in
1983 Warsaw Mrad he,political law;8 right,condemned
26  XI,26 SOR KE KRPT,SUSW within
Regina Jung,1934  Gdynia,born5
1989  1992,1992,restored to
1980 Independent wife,independent Juniszewska publications,led
1982 Co -,Solidarity Solidarity Zagłębie Copper,Committee at
He,Freedom,awarded
he,business,ceased
1980  President,201 Lech votes,conducted
Piotr Jurczyk,1946  Scotland,born27
6 III judgment Provincial Court,1992 SN sentence,dismissed from
member,organizational Szczecin matters,From
He,Polonia Restituta,awarded
9  I,1982 SOR KRPT,Developed by WatchV
Laureate,2012 Newspapers Press Freedom,awarded
1980  member,First Mazowsze region,Chairman of
underground Roman Pawłowski);She,S  cross,kept
Professional Niejni trade unions,two trade terms,conducted
2008  Welder,Main Board Rudna,S
then World War he,Poland,incarnate to
He,S,made available
1981  19,anxiety,stopped
1986,SOR KRPT,Developed by
1980  member,1981 Warrińsko Mazury Region,From
1983 health;fired;In he,technical Agricultural adjunct,employed at
1987  1989,SOR crypt,worked
1988  1989,SOR KRPT,Developed by
Kazimierz Kacprzak,mechanical  plants,completed
He,2011 Golden Freedom,awarded
banner trade list,meritorious  activists,placed
check orderin SB;He,serious child disease,receive
1983  driver,underground Related Sweden,talk about
1991 Member COMMISSION,1998 AWS list,NIELS
1980  Secretary,Committee  JFM,From
participant city collections,1983  SB,After
structure creator National Committee,Section National S,From
where director Jerzy he,first  Wolves,Hunting to
he,Poland,returned to
1981  Participant,occupation outgoBiology,are
He,Golden Freedom,awarded
1982–1985,underground Solidarity presbytery,provided
Scientific  decorations,1982 Collegiate Przemyśl,privilege for
XI,KW MO SOR KRPT,Developed by
structures  S,repressed Charystwna Saint,collected
he,Poland,returned to
1962  1985,KW MO K Sor Krypt,Developed by
1980  he,IX 1980 Mazowsze region,came to
II 10 II IX,1979 WYDZIII KW SOR,Developed by
10 born18 IV,2010 plane Smolensk,died in
13  XII,1981  axle,interned in
Bachelor Order,highest I Slovakia,decorated
4  IV,Mo Crypt sauce,Wusw in
1980 strike participant,S Polmozbytu;In VI,Western
member,Solidarity Western Pomerania Region,unions
16  VII,KW MO SOR KE KRPT,Developed by
Janusz Ryszard Kalbarczyk,1952  Szczecin,born20
17 Boarding XII,1981  work,dismissed from
1989  he,pre Szczecin Kasprowicz Park,designed
1980  1981,outz,Developed by
Stanisław Kaleciak,1947 on1 Bielanka,born
1982  he,14 day November,released
structures,Indiwidnal Government Trade Krakow,reactivated
1980  Participant,design  shipyard,Shipyard;From
3 Tri City V,1984  Saint,stopped in
15  XII,1981  axle,interned in
V,so VI KW crypt,worked
15  1982;6,again  June,interned in
Arka Tygodnik Non,-internalized Nowy Zakopane,I
member factory commission,ZR,delegated to
then  President,Region Pro Patria,repressed in
1982  1984,Mr,Developed by
organizer,independent hour ZN,In
Andrzej Kuma,1951 Konstancin Lake,born20
1983 I V,occasional COMMITTEE COMMITTEE postcards,appointed
1982  Employee,Piaseczno,plants
"1980 S"";1980 1981",1981 Secretary Committee,From
1981  participant,1981 occupation documents,concluded
he,Bioenergotherapy massage 1997,running
9 removal XII,removal Strzebelinki,released
2001 Employee Bud IPN,Warsaw,retired
1980  KS,departmental Szczecin Shipyard,Co
16 Zdzisław VI,11th Zdzisław Głodówka,released
exhausting 19 II,1982  axle,stopped for
12  VIII,1984–23 III 1984–23 Mr,worked
1981  member,1 correction plant,suspended
Municipal  retailer,agricultural machinery Kutno,factories
1980 co -organizer,-chief Kutno magazine,Solidarność
1981  Participant,1981 PMR Agromet;14 axle,interned in
Again  worker,then unemployment 2004,retired
1981  1989,Płock V KW gr,worked
Aleksander Kania,1945  Tarnów,born1
13  XII,1981 Kielce July,interned in
1977  1982,so WYDZIII KW crypt,Developed by
1981  Participant,hoc Provincial 3,Ursus;after
1984,occasional PSS Społem kindergarten,performed occasional
he,own advertising Gdynia,runs
1980  he,plant,managed
30 Completion IV,Completion Uherce,released
Golden Cross,Trade Union Solidarity,awarded
III 23 III VII,1982 EC Krypt,Developed by
cultural  activist,Polonia Freedom,awarded
participant,Solidarity trade plans,made
14  VIII,1980  A,gave
1980 Founding Bureau,Międzyzaczdowy KGHM Lubin,Included
Author,specialist rock meters,works on
participant,Solidarity trade meetings,In
1976  1978,1982 Father Bydgoszcz,dealt with private
S Kutno land,independent National Niezniazek,gathered
1981,DepartmentIIIA SOR crypt,worked
He,central breathing regulation,explained central
1980 co -organizer,Branch plant Giżycko,In
13  XII,interned revision);10 VII,interned in
1978,SOR crypt,worked
1980  Co,1980 Gdańsk Shipyard,seconded to
1980  he,Gdańsk Shipyard,brought
"1980 S"";Co -organizer",Mostal Vice President,From
9  VII,KW MO SOR crypt,WUSW in
Jakub Karpiński,1940  Warsaw,born17
abroad  he,Columbia Parisian,lectured
26  1977,crypt sauce,Developed by
13  XII,1981 Warsaw 18,interned in
Author,Censors,Write for
13  XII,1981 State Department,was in
where  he,Mo officers,II
Kolporterka underground publishing houses,S Aid Toruń,emissions
Silver Medal,Polish Poland,awarded
13  XII,judgment strike XII,stopped
1963  Appective,1978 practicing attorney,entered on
1980  collaborator,1st IX Commission,Observer during
medal,Poland,deserved for
1968  apprentice,1992 Adwokacki team,No
1981  he,Ostrów Wlkp,defended against
he,law Kalisz,runs
Jerzy Kasperek,1946  Kęty,born
1994 Vice President,Section National Automotive S,delegate to
24 removal VI,1981 removal Strzebelinki,interned
1981  Participant,1983 Warsaw amnesty,sentenced to
instructional meeting who,1981 Health Delegate,supplied instructional
13  XII,1982  axle,interned in
Jerzy Kazański,1946 Jelenia Góra,on8
1982 IX 1989,KW MO SOR KRPT,Developed by
Spiritual  guardian,S  activists,Tarnowski
1987,Nadodrzańska St,parish
Kazimierz Ferenc,1944  Rzeszów,born20
organizer,Individuals Warmian Masurian Region,In
1982  -,organizer  boss,co
28  XII,Mo,arrested
1981  Participant,large work plants,publishing
1993  trader,2006,unemployed
same  he,father,died
1983  he,pension,went to
14  XII,1981  col,slowed
1982  1984,Mr,Developed by
1991  He,own law firm,led
Jan Krzysztof Kelus,1942  Warsaw,born
he,public  life,withdrew from public
1983  1988,Mr,Developed by
MKMISSIA,1981 Management BoardRegional,Delegate on
1970,WatchIII Sor Krypt,Developed by WatchIII
general Strike Committee,Bewelery Committee,organizer of
7 VII 1977 19,WatchIII crypt sauce,Developed by WatchIII
9 New XII,1981  Rzeszów,released
Golden Honorary Badge,Zdrój SA Philanthropy Poland,honored
Adam Kersten,1930  Kutno,born26
1948  Member,1978  opposition,removed for
new War which,newspaper,War
includingPolish  peasants,flood Lord 1974,Radziejowski
Danuta Kędzierska Sadowska,1954  Sopot,born13
13  XII,1981  VI,intended for
4  IX,KW Mo SOS KE KRPT,Developed by WatchIII
Andrzej Kędzierski,1939  Łódź,born20
13  XII,1981 Przemyśl Southeastern,supplied
i,Huta,m
W  from,independent Works Małopolski,"including""Goniec"
i,Huta,m
1981 strike participant,1981 Agricultural fine,detained
10  VII,1982  apartment,arrested in
1982  1983,MO SOR crypt,Developed by
Longin Kiercul,1950  Bialystok,born20
Leon Kieres,1948 Zielona Podlasie,born26
1984,FacultyIII-1 SOR KRPT,worked
Czesław Kijanka,1944  Śliwnica,on8
1980 State Machine Center,first -Governing Trade province,created
13  XII,then Warsaw Białołęka,interned in
1968 29 Author,professional Committee Civic nyes,adopted at
23 Warsaw XII,1981 Warsaw Białołęka,released
Author,Chronicles November Dedal,underprecuted
1977  1985,WatchIV DEP,Developed by
1983 Zielona 17,other District 1,arrested
11 removal VI,removal Strzebelinki,released
Stefan Kisielewski,III 1911 III Warsaw,born7
martial  he,1983 Tygodnik Powszechny,suspended
1962  V,1972 WatchII DEP,Developed by
13  XII,23  VII,interned in
1966 Theater actor,2003 Theater film,performances in
Zenobia Kitsina,1933  Puławy,born5
Kazimierz Kiżewski,1957  Kościerzyna,born20
He,underground printing apartments,made
1984–1986,SOR crypt,worked
1980 VIII Welder,Gdańsk Enterprise Engineering,works
III 1982 released;31 VII,1982  work,interned
III,SOS SOR crypt,worked
1981  IX,1982  bailroom,sought by
6  VIII,1981  Wronki,released
He,Polonia Restituta,awarded
1950 Employee factory,then  no,mail
main Zielona We,1981 Zielona Góra,IX
1 balance IV,1987 State Agricultural Swarzynice,transferred to
1982  VII,MO Zielona Góra,worked
independent NOW 1977–1980,independent NOW university,detained several
1980 strike participant,"1980 S"";Member Committee Committee",Treasurer
head,Solidarity trade S,DYR
I,1986 WYDZIII KS outz,Developed by
XII,10  anxiety,interned for
organizer,education Podbeskidzie,In
Author,regional  poetry,memories
We,founder President Factory Commission,IX
13  XII,9 Warsaw VII,interned in
1981  stopped,1981  axle,interned in
1989  member,structure information activities,reactivated
Hanna Janina Klonowska,1952  Wadowice,born
Organizer,Local publishing houses,subjected to
black High we,black High banner,sweep
where AŚ he,November,interned
Dominican novitiate,Poznań,started in
Jerzy Kłoczowski,1924 Bogdany Wielkie K,born29
Rzeczpospolita Deputies i,Deputies Vilnius,m
he,striking Gdańsk ShipyardLenin,supported
1989 Senator Rzeczpospolita Polska,Professional Nieznie,unions
1983 Council National Niezniezek,SolidAmności Andrzej Michałowski Gryps,includingWith
again  member,1994 share vice,From
He,Polonia Restituta,awarded
1954  1960,state Jarosław,Employed in
13  XII,re  Załęże,interned in
organizer,packaging Gdańsk Shipyard,In
Education Solidarity Workers,IX 1 IX XII,subtitle
Sports Club lifeguard,Sports Club 1976,GOPR
Stanisław which,work,Council of
Committee Bureau he,S,performed from
Honorary Citizen,Polonia Freedom,awarded
Jolanta Kmiecik,1949  Tczew,born12
1980 Vice - President,then Regional Office,seconded
1982  1984,Mrs,Developed by
Zbigniew Knap,1952  Warsaw,born26
29  IV,axle,interned in
17  XII,1981  axle,interned in
organizer,KS,In
1981  he,collaborated includingThe Gdańsk,involved in
Zdzisław Kobyliński,1924  Ostrołęka,born13
he,third  1945th,remained
Agreements;In Bureau IX,1980  MKOMISSIA,canceled from
13  XII,then 25 III 1982,interned in
he,December,revealed in
Skwer,Gdańsk,named in
1977  VII,KW Mo SOR KE KRPT,VIII
14  XII,1981  axle,interned in
1980  participant,social Stanisław government,delegate to
13  XII,1981  axle,interned in
1980  1981,outz,Developed by
1986,Sor Krypt,Developed by WatchIII
Marek Leszek Koczwara,1953  Mragowo,born27
1981  he,1989 Kolporter Underground presses,conducted
1981 24 VII,KW MO EC KRPT,WUSW in
based  standard,repressed Polish State persons,made available
1981 Agricultural Aid organizer,Underground persons,repressed
he,1980 Zakładowa Region chairman,brought
Grzegorz Kolosa,1965  Grajewo,born1
"weekly simply"";1958 1973",DKF Zigzak,participant of
1981  participant,1982  work,dismissed from
30  IV,KS Mo SOS SOR KRPT,Descended
1980 Strike Organizer,management Workbook S,went from
1988 Kornel trick,K,encouraged
he,country,returned to
Honorary Citizen,Poland Freedom,awarded
1974  1982,State Farm Mianowice,Employed in
13  XII,1981 KM Kępno,stopped
18 III 1985,EC KRYPT,Developed under
forced Farbeningustrie factory,1945 Gross Rosen camps,block
1966 Knight Cross,Honorary Gdańsk,awarded
1982  V,WatchIII SOR KRPT,Developed by WatchIII
1981  member,leading trade workplaces,network of
13  XII,then Warsaw VI,interned in
1990  clerk,2002 Polish Motor Za,ibid
Konstanty Konar,1940 Nowy Sącz,born12
-,new  ZW,In
participant,trade unions trade Solidarity,rallies
WatchThe kw,crypt sauce,Sącz under
1980  member,1981 vice president,From
1981  Co,WSK PZL,v
founder,then Management Board,In
18  XII,1982 kW incred,interned
1990  Casual,Remonto  Szczecin,works
9  IV,1985 EC Krypt,Developed by
he,1945 storm shares,passed
XII,1981  axle,interned in
organizer,departmental trade union committee,In
1978–1983 Polish State Brigadier,Repair Gdańsk Oruna,referendary in
organizer,independent countryside;Release ZR,From
13  XII,free university buildings,hid
martial  XII,1981  axle,interned in
XII,so V KW crypt,MO in
Janusz Kopera,1942 Biały Borie K,born26
Independent Self Governing Trade Union,1983 trade SW,R from
1981–1986,WYDZV  WZ,worked
Marian Kopko,New Ruda,born7
independent  writings,own  apartment,thought
1967  Górnik,Grade stone coal minute,included in
military television broadcasting constructor,industrial Ostrów Wlkp,followed by
He,Polonia Restituta,awarded
participant,leaflet  S,Yes for
1981 Working broker,ABC ZR certificate,Western
repressed  includingHe,weekly  Jedność,collected
Runotex Runotex he,annual exchange 1996,graduated from
1982 family he,trade union activities,ceased
economic  activity,2006,unemployed
1981  he,underground  activities,engage in underground
initiator  S,Ostrów Wlkp,POIW in
1985  Practice,there  Forestry,leave
1989  he,L,returned to
1981 Białystok Committee,later Stanisława KPN,co
organizer,acting  shares,After
1989  Co,X KPN Information service,founder
Chairwoman,Founding I,From
1980 III he,1981 Scha Region Busko,guided by
13  XII,1981 New December,interned in
13 Warsaw VII,1982 Warsaw Białołęka,released
2018  Member,new KNP formation,was
1985 Mała Blue we,1985  books,Was
15 occupation XII,48  hours,stopped for
it,plant,hidden
1984  XII,WatchIV K Sor Krypt,Developed by
Tomasz Kosior,III Kętrzyn,born12
1979  1981,Student High Kętrzyn,School in
Kolporter underground Kolporter leaflets,war,is
judgment,Legnica,understood
13  XII,then KW axle,interned in
1980  one,1981 Professional Nieznie,In
25 Strzelce VII,1984  amnesty,released under
1981  VII,1982  anxiety,Internified in
1980  President,national Mazovia councils,Mazovia
1982 National Professional Needle,leaflet Special action,pass
Mikołaj Kostecki,1924 Drui k,born19
then Founding Chairman,Zakładowa Jeleniogórski Voivodeship,Founder
25  XII,1981  Ośr,interned in
distinguished  medal,distinguished Polonia Restituta,awarded
Grzegorz Kostrzewa Zorbas,1958  Warsaw,born26
15  XII,1981  ALY,interned in
1953 Polish Peasant this,then Military District 1956,renamed
1980 Governing Trade Delegate,III 1981 occupation Bydgoszcz,Map;In
she,younger  Nazareth,stayed in
self -education printing,self -education meetings,made
VIII,- Jan plant,strike in
XII,1981  axle,interned in
1989  -,Solidarity trade Wąbrzeźno,COMMUNITY
1982 28 1982 VII,Torun WatchIV KW P,Developed by
1983 hearings;14 it,SB custody,beaten by
17  XI,1981 crypt sauce,Developed by
Ryszard Kościerz Kuszłeyko,1930  Zamość,born12
economic Solidarity Exchange which,1981 Śląsko Dąbrowski ZR,exchange;In
13  XII,1981 Zabrze Zaborz,interned in
1989  Chemist,State Employees,Lab in
1972  Employee,1995 Otwęt tannery shore,plants
Trade Union Trade he,local opposition activists,meetings of
1982  1990,Olsztyn EC Krypt,Developed by
Medical proceedings,perpetrators,appealed to
Anna Kowalczyk,1922  Płock,born13
partisan  cross,National lieutenant,honored with
Jerzy Kowalczyk,1946  Gdańsk,born1
3 Ewa February,1983 releasedin amnesty,1982convicted in
Stanisław Kowalczyk,1935 on1 Przasnysz,born
1980  he,then Radom November,supported
Pietkiewicz she,Fr,went to
12/13  XII,members Siekierki Power Plant,tried
Solidarity  Solidarity,Solidarity trade Nr,issued
governing trade union,Committee IPPT Polska Sciences,member of
he,Poland,left
Zbigniew Kowalewski,1949  Lębork,born14
He,Polonia Restituta,awarded
9  VII,KW Mo KW SOS,Developed by WatchIII
He,winner Polcul Foundation Award,awarded
Andrzej Aleksander Kowalski,III 1946 III Gdańsk,born20
temporary  Printer,sporadically information day,collaborator of
1957  Tailor,Tailor clothing industry Inowrocław,stationery
1980  he,2nd  day,co
1981  he,Minister Mieczysław F,sent
1981  VII,1985 V KW Bydgoszcz,Developed by
1989 Jadwiga who,photographic anniversary masses,co
Sergiusz Kowalski,1953 Incie K,born17
13  XII,1981  axle,interned in
kingy;He,political  underground,be
1981  he,website,continued
1983  VII,MO SOR crypt,Developed by
1982  microfilm,Trade Unions Trade Wola,taken to
1990  1993,1995 editor road,stayed in
He,1996 Radio Poznań,published in
1981  collaborator,Christian Holy culture,parish in
15  XII,1981  axle,interned in
13  XII,1982 co pacification,interned in
13  XII,then day V,interned in
1980  1982,so KW crypt,Developed by
1980  Head,social photo services,led
Mieczysław Koza,1948 Nowy Tomyśl,born22
1963  Employee,aggregusIn Bolesławiec Bolesławiec branch,disseminating
1989  Physisja,1988 Helena Christ,collected
Jerzy Koziarz,1958  Wałbrzych,born12
1981 Economic author,independent student Gadoma,CIA
formally worker Council Krajowy,defeated Home Army,soldiers of
9  XII,1981  Strzebelinki,released;fired
1981  interned,removal Strzebelinki,released
13  XII,1981  15,interned in
13 poster V,15 KW axle,interned in
Poland Cross,Freedom,Decorated with
1981 MO he,lower  workplace,revealed himself;transferred
Chairman,Podlasie Sight ZR,Waterflows;From
editorial  secretary,member election staff,returned to
1980 Co -,1980 Tarnobrzesko Sandomierski chairman,organizer
13  XII,1981  axle,interned in
1974  1989,SOR crypt,worked as
W  Chairman,Department Press Legnica,Included
Laureate,posthumously Honorary Legnica,awarded
1982 27 1982 V,KW MO SOR KRPT,WUSW in
Stefan Kozłowski,1955  Wiesbaden,born27
where police it,so  calledLojall,XII
Wanda Krajewska Hofman,1936  Warsaw,born1
Międzyrzec She,antirnation posters,made
1993  she,1992 Sudbury Regional Hospital,graduated from
1981  1982,crypt sauce,Developed by
III,29 SOR crypt,worked
1971 Wicker 1989,casting Huta Stalowa Wola,maintainedFrom
13  XII,1981  Rzeszów,interned in
III  he,protest prison,led
25  XI,2007 Gdańsk S,Polska;1993
Tomasz Kraszewski,III Puławy,born20
1982 District She,2 year trial period,discontinued criminal
agricultural Sanitary 1986,municipal Kraków Czyżyny,installation
1980  participant,several hour strike rally,read
1980 factory he,trade union writings,dealt with
Dariusz Krawczyk,1965 Olecko k,born20
worker,magazine  News,After
Merited Culture Activist,Poland,awarded
1982 KS Mo,crypt sauce,as
Worker shipyardKomuny Paris,electronic College plants,Unimor
organizer,housing Gdańsk Shipyard,In
1988 Poland Socialist Party,name,adopted
13  XII,1982 International Cross intervention,interned in
1968  1969,SOR KRPT,worked
1980  member,XI National Measure XII,From
1982  member,underground Warsaw Ibj,led
intermediation activist,public Szczecin;co founder,After
member,1989 Professional Niesze,Member of
Marcin Król,1944  Warsaw,born19
1980  VII,SO KW crypt,worked
-,1963 Book Poetic Debut,From
1981  he,creative  work,stayed with creative
He,1979 Polcul Foundation Award,awarded
public Polish parents,family court,slogans
Roland Kruk,1955  Warsaw,born12
1982  1983,KW MO SOR KRPT,Developed by
1982 KW participant,1982 Tygodnik money,repressed
underground anniversary Solidarity,S Mazowsze Warsaw,Bulletin
1983  X,so  crypt,Developed by
EC,1981 Bureau COMMUNITY COMMISSION,transformed into
then Designer Engineer,Western 2004,retired
28 III 1988,underground  materials,interrogated
26  1989,Kalisz KW p,Developed by
1980  she,1980 Correspondence Secretariat,assisted in
Cross,cultural  activist,awarded
1981  organizer,Toruń co internees,-organizer of
4th National Military he,8 Military District Goleniów,revealed
1  VI,severe  disease;fired,interned in
14  XII,1981  Legnica,released
Committee Underground Temporary Organizer,temporary Solidarity letter,collect
1984 health proceedings,amnesty,discontinued under
Zdzisław Eugeniusz Krzemiński,1931  Kutno,born13
S Kutno Land,responsible poster city,referred to
He,Freedom,awarded
1981 Zielona Góra Presidium,1st Commission,delegate to
1981  wife,S birch Fr,interned in
1981  printer,underground book publications,leaflets with
he,artistic  1996,conducted
KS Mo,crypt sauce,as
1980  he,local  S,supported
1982  1984,kW MO SOR crypt,Developed by
1978  Motorcycle,1979 Gdańsk Shipyard,devices in
1989  she,family home family child,led
2  IX,III 1981 Crypt sauce,Developed by
soldier,valiant  cross,awarded with
1980  member,Delegate Commission Map,From
XII,1981  axle,interned in
Józef Marian Krzyżanowski,1940  Grójec,born1
He,1990 National Remembrance,awarded
distributor,underground  Łódź,includingŁódź
-,later opposition activities,engage in
Józef Kubach,1949  Szczecin,born1
1981 strike participant,IV Provincial 2,pacified by
15 Bytomiu VII,due toFor health,dismissed due
Golden Cross Golden Medal,Recovered Independence Solidarności Podbeskidzie,Decorated with
Higher Maritime Cookie,Higher Maritime 1976,certified
Andrzej Stars;29 1981,L,In
16  XII,1981  axle,interned
1981  it,Workstan Commission Workstan S,called for
-,1989 Professional Neviles,Land
15  XII,1981  anxiety,interned in
12/13  December,1982  December,detained
14  XII,1981  axle,interned in
Helena Kubicka Drwiega,15  Skalbmierz,born
coordination council Stanisław Wądołowski);she,legal apartment);Co meetings,helped
1980 Interaction IX,1981 W Scha ZR,seconded to
KRYPT,EC,done within
13  XII,1981  anxiety,interned in
20  VIII,KW MO EC crypt,worked
governing trade union,Solidarity peasant S,acted on
13  XII,1981 Ostrów Wlkp,interned in
22 IX 1989,EC Krypt,Developed by
Adam Kolporter,Adam Poznań,leaflets
15  XII,1982 Warsaw Ochota district,vacated
He,Polonia Restituta,awarded
